股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2409,友達,52472,-73325,-156619,2,4,4,-69,1
6770,力積電,42640,-22099,-33163,3,423,475,443,2
3481,群創,20867,14432,-34510,1,3,4,-111,2
2344,華邦電,18474,-27887,-64654,1,177,-13500,-15785,1
2609,陽明,13282,11575,34602,4,-883,-746,-395,4
2834,臺企銀,11140,19841,27563,4,-4371,-4434,-4438,0
6182,合晶,10125,13239,12891,4,0,0,0,0
2889,國票金,9670,12001,15828,3,0,0,0,0
2481,強茂,9276,15058,15212,3,3761,4653,5023,3
2887,台新金,7598,15662,10396,3,8184,17250,29821,5
2303,聯電,6968,-2732,-17011,2,3910,17780,31934,5
2884,玉山金,6518,-16040,-5457,3,7852,16796,25493,5
2408,南亞科,6507,-8684,-24297,1,823,-4242,-4679,1
2489,瑞軒,6108,4162,4622,4,-23,-47,-36,2
2353,宏碁,5967,8227,7243,2,1007,1584,1920,5
2412,中華電,5858,29543,43395,5,-328,-274,-62,3
6116,彩晶,5426,4589,-13292,2,0,0,0,0
2305,全友,4869,4129,6624,4,0,0,0,0
2337,旺宏,4067,-3331,-9141,1,211,179,-1000,1
3714,富采,3812,3206,4299,3,18,143,143,2
5347,世界,3544,4048,8366,3,-1042,-1695,783,3
5425,台半,3476,5010,3994,2,0,0,-21,0
2637,慧洋-KY,3167,1462,2649,3,-271,1391,3637,4
2615,萬海,3038,5047,-2117,4,-77,-235,-407,0
5483,中美晶,3014,5449,3463,3,0,-25,192,1
3711,日月光投控,2606,-2499,-5780,2,-1038,-1988,-1329,2
8150,南茂,2600,443,-13263,2,6,75,80,3
2426,鼎元,2442,-1784,-6312,2,0,0,0,0
3045,台灣大,2247,6601,10963,5,425,267,342,3
1727,中華化,2140,2014,1653,1,0,0,0,0
4958,臻鼎-KY,1779,-911,-2233,2,299,700,692,3
3006,晶豪科,1766,-2931,-9001,2,32,26,61,3
3042,晶技,1725,5590,1083,4,6,-113,-113,2
6239,力成,1435,2324,-2757,3,-806,-1760,-1819,0
8358,金居,1262,-4228,-6971,1,5,57,-2,4
6173,信昌電,1073,-1231,-149,2,30,199,199,2
6290,良維,1066,978,-714,2,0,0,0,0
2603,長榮,1055,-5284,-4877,2,1741,7374,9907,5
3532,台勝科,1020,-126,-918,1,99,720,1074,4
2454,聯發科,997,731,1706,3,-483,-396,-232,3
4967,十銓,956,-639,-492,2,0,0,0,0
2379,瑞昱,949,1952,3092,4,-29,114,118,3
3450,聯鈞,845,-903,-1769,1,257,-141,-933,1
6451,訊芯-KY,704,847,889,3,2,22,22,2
3034,聯詠,603,1992,3547,4,343,434,531,4
5269,祥碩,555,616,449,2,3,59,57,3
6789,采鈺,478,615,407,3,-456,-476,-485,0
6531,愛普*,405,93,-431,3,-8,-14,1047,2
6274,台燿,400,29,1072,4,-318,119,-1117,2
2395,研華,387,1412,2306,5,-149,-134,-72,3
3363,上詮,349,241,285,3,0,0,300,1
8299,群聯,319,325,485,3,115,118,-653,3
6805,富世達,297,974,1432,5,-64,-266,-473,0
8996,高力,290,-1126,-1705,2,-5,-271,442,2
3533,嘉澤,228,-149,-640,2,-65,-70,-122,1
6442,光聖,214,703,548,3,0,-233,-70,2
3653,健策,175,79,20,1,-55,139,340,4
3491,昇達科,148,41,82,3,59,117,219,5
2383,台光電,67,90,20,2,-147,-429,-410,1
