排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,8277,商丞,半導體類,78.2,358.7,,,,,
2,3710,連展投控,電子零組件類,67.1,204.0,,,,,
3,3356,奇偶,光電業,65.2,187.4,,,,,
4,3591,艾笛森,光電業,46.3,86.2,,,,,
5,2321,東訊,全部,28.6,40.1,,,,,
6,8059,凱碩,通信網路類,27.0,37.0,,,,,
7,8227,巨有科技,半導體類,6.0,18.4,235.0,281.0,229.5,279.0,18.7
8,6168,宏齊,光電業,6.6,14.5,29.2,38.85,28.55,38.85,33.0
9,2444,兆勁,全部,3.8,14.0,11.5,12.75,11.0,12.6,9.6
10,1727,中華化,全部,6.7,11.5,89.1,109.5,86.2,106.0,19.0
11,6226,光鼎,光電業,2.9,9.8,33.05,48.0,29.4,45.7,38.3
12,3094,聯傑,全部,2.0,9.6,41.05,51.7,40.35,51.7,25.9
13,2399,映泰,全部,2.9,9.5,45.3,50.8,44.25,48.45,7.0
14,8431,匯鑽科,其他電子類,2.8,9.0,59.4,68.0,55.2,62.5,5.2
15,6683,雍智科技,半導體類,1.7,8.3,1265.0,1695.0,1235.0,1670.0,32.0
16,6667,信紘科,其他電子類,3.9,7.6,262.5,264.5,234.0,262.0,-0.2
17,4916,事欣科,全部,1.9,7.5,94.7,107.5,92.3,105.5,11.4
18,2489,瑞軒,光電業,2.1,7.1,36.7,44.75,36.2,44.15,20.3
19,8103,瀚荃,全部,3.3,6.9,110.0,132.0,108.5,129.5,17.7
20,6133,金橋,全部,3.2,6.7,21.8,27.7,21.8,27.45,25.9
21,6588,東典光電,通信網路類,1.4,6.2,111.0,122.5,100.0,117.5,5.9
22,1314,中石化,全部,2.0,6.2,8.13,9.37,8.06,8.96,10.2
23,1529,樂事綠能,全部,2.8,6.2,15.8,16.0,14.35,15.25,-3.5
24,2484,希華,全部,1.4,6.1,67.2,73.7,64.7,70.4,4.8
25,2493,揚博,全部,2.7,5.4,172.0,206.5,167.5,192.5,11.9
26,6182,合晶,半導體類,1.3,5.1,105.5,117.5,100.0,116.0,10.0
27,9958,世紀鋼,全部,2.3,5.0,90.4,94.0,88.1,94.0,4.0
28,3349,寶德,電腦及週邊類,2.3,4.8,19.65,20.5,19.5,20.0,1.8
29,5425,台半,半導體類,1.6,4.8,87.4,95.7,84.4,92.6,5.9
30,6227,茂綸,電子通路類,3.3,4.7,123.5,145.5,120.5,132.0,6.9
31,8034,榮群,通信網路類,0.8,4.7,19.9,20.3,19.55,20.0,0.5
32,6669,緯穎,全部,2.7,4.5,2290.0,2345.0,2085.0,2140.0,-6.6
33,5291,邑昇,電子零組件類,1.9,4.4,59.7,60.6,56.5,58.3,-2.3
34,4956,光鋐,光電業,1.6,4.2,33.3,42.6,31.3,42.6,27.9
35,3041,揚智,全部,1.0,4.0,22.7,23.4,21.95,23.0,1.3
36,6179,亞通,其他,1.9,3.9,38.2,41.9,32.85,37.9,-0.8
37,3609,三一東林,電子零組件類,1.9,3.7,18.6,22.75,18.05,21.9,17.7
38,3221,台嘉碩,通信網路類,0.9,3.7,46.5,48.6,44.3,47.5,2.2
39,6186,新潤,建材營造,1.9,3.7,30.4,31.3,29.25,29.95,-1.5
40,2305,全友,全部,2.4,3.7,38.65,59.0,37.7,58.7,51.9
41,3231,緯創,全部,2.4,3.7,182.0,190.5,179.5,186.5,2.5
42,4961,天鈺,全部,1.7,3.6,170.0,186.0,168.0,183.5,7.9
43,1565,精華,生技醫療類,0.6,3.6,97.9,98.0,95.1,98.0,0.1
44,2221,大甲,其他,2.3,3.5,103.0,127.5,88.2,127.5,23.8
45,6130,上亞科技,生技醫療類,2.1,3.3,24.75,24.75,23.2,23.85,-3.6
46,3605,宏致,全部,2.1,3.2,125.0,154.0,118.0,154.0,23.2
47,3014,聯陽,全部,1.0,3.2,129.0,137.0,128.5,135.5,5.0
48,5222,全訊,全部,1.0,3.1,102.5,105.0,101.0,103.5,1.0
49,8996,高力,全部,1.5,3.1,1270.0,1430.0,1200.0,1430.0,12.6
50,6147,頎邦,半導體類,1.9,3.0,186.5,229.0,171.0,229.0,22.8
