排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,2380,虹光,全部,55.0,122.2,6.7,6.7,6.61,6.62,-1.2
2,6672,騰輝電子-KY,全部,7.3,25.6,231.5,311.5,231.5,292.0,26.1
3,6683,雍智科技,半導體類,5.0,24.8,1650.0,2010.0,1585.0,1700.0,3.0
4,8054,安國,半導體類,7.7,22.3,100.5,138.5,99.9,124.0,23.4
5,6127,九豪,電子零組件類,4.8,19.0,81.4,100.0,80.4,91.4,12.3
6,3374,精材,半導體類,8.7,16.9,243.5,317.5,242.0,279.5,14.8
7,2426,鼎元,光電業,7.4,16.9,75.7,98.8,75.7,77.6,2.5
8,6226,光鼎,光電業,3.9,15.1,12.45,18.25,12.3,18.25,46.6
9,2369,菱生,全部,5.3,14.9,34.65,45.7,34.65,40.95,18.2
10,6213,聯茂,全部,7.7,13.4,274.0,373.0,272.5,346.5,26.5
11,2363,矽統,全部,4.8,13.1,59.5,76.1,59.3,68.6,15.3
12,4968,立積,全部,2.1,12.1,109.0,124.0,108.5,110.5,1.4
13,3715,定穎投控,全部,4.0,11.6,176.5,196.5,168.0,168.5,-4.5
14,1815,富喬,電子零組件類,3.9,11.5,95.8,110.5,95.5,96.7,0.9
15,2436,偉詮電,全部,2.9,11.5,70.1,81.4,70.1,70.8,1.0
16,3588,通嘉,全部,3.1,11.1,58.7,80.0,58.6,71.6,22.0
17,6695,芯鼎,全部,5.1,10.8,54.5,69.0,54.3,60.3,10.6
18,6150,撼訊,電腦及週邊類,1.6,10.3,64.1,65.9,60.3,60.6,-5.5
19,6104,創惟,半導體類,1.9,10.1,100.5,111.0,96.3,96.5,-4.0
20,2449,京元電子,全部,5.5,9.4,287.0,353.5,287.0,308.0,7.3
21,6530,創威,通信網路類,1.6,9.4,97.0,100.5,84.6,84.6,-12.8
22,6168,宏齊,光電業,4.0,9.0,28.2,36.65,28.0,30.25,7.3
23,6419,京晨科,光電業類,3.2,9.0,141.0,158.5,139.0,139.0,-1.4
24,3035,智原,全部,2.6,8.7,203.0,245.0,201.5,206.5,1.7
25,6271,同欣電,全部,4.4,8.7,228.0,280.0,223.5,255.0,11.8
26,6719,力智,全部,4.1,8.4,245.0,305.0,245.0,266.0,8.6
27,3450,聯鈞,全部,3.7,8.2,521.0,612.0,520.0,530.0,1.7
28,8110,華東,全部,4.1,7.8,58.5,63.9,56.3,57.0,-2.6
29,8261,富鼎,全部,3.7,7.4,215.0,281.0,215.0,244.0,13.5
30,3521,台鋼建設,建材營造,5.1,6.7,12.85,12.9,11.9,12.05,-6.2
31,8071,能率網通,電子零組件類,2.3,6.7,29.45,33.2,26.1,29.85,1.4
32,6270,倍微,電子通路類,2.9,6.7,35.45,46.55,34.5,42.75,20.6
33,6257,矽格,全部,3.0,6.2,216.5,253.0,216.5,224.0,3.5
34,6693,廣閎科,半導體類,2.6,5.8,210.0,262.0,209.0,221.0,5.2
35,3236,千如,電子零組件類,2.0,5.7,68.9,72.8,60.5,67.5,-2.0
36,2340,台亞,光電業,2.1,5.5,38.8,45.8,36.25,36.45,-6.1
37,3088,艾訊,電腦及週邊類,2.5,5.2,141.0,146.5,136.0,136.0,-3.5
38,8033,雷虎,全部,1.4,5.1,128.0,147.0,125.5,140.5,9.8
39,8105,凌巨,光電業,3.0,5.0,21.6,25.75,21.1,22.65,4.9
40,2472,立隆電,全部,2.8,5.0,372.0,432.5,350.0,376.0,1.1
41,5011,久陽,鋼鐵工業,2.3,4.9,20.2,27.3,20.15,25.7,27.2
42,6129,普誠,半導體類,0.8,4.9,16.45,20.5,15.9,18.6,13.1
43,6788,華景電,半導體類,1.1,4.8,439.0,466.0,420.0,422.0,-3.9
44,3437,榮創,光電業,1.1,4.8,21.75,24.4,21.0,21.05,-3.2
45,5210,寶碩,資訊服務類,2.0,4.7,29.25,33.25,29.25,30.0,2.6
46,2610,華航,全部,3.1,4.7,22.1,24.75,21.25,23.2,5.0
47,2483,百容,全部,2.7,4.6,36.1,55.7,36.1,55.7,54.3
48,4526,東台,全部,2.3,4.6,39.15,43.85,38.25,38.85,-0.8
49,4967,十銓,全部,1.0,4.6,277.0,290.0,265.0,265.0,-4.3
50,5328,華容,電子零組件類,2.2,4.6,51.8,70.2,51.7,70.2,35.5
