股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2337,旺宏,34432,37938,9501,3,2658,-1848,-1207,2
1303,南亞,27421,-24656,-22915,2,5662,7290,7600,4
3715,定穎投控,13157,16185,9127,3,-17,-96,-99,0
1409,新纖,9053,13956,11825,3,-1,137,131,1
1605,華新,7184,5596,17142,4,46,68,-52,3
2892,第一金,6433,7878,8807,3,30,203,954,5
2426,鼎元,5793,6793,6870,4,0,0,0,0
3189,景碩,5494,-626,696,2,3845,2756,2040,3
5351,鈺創,4993,6529,2221,3,0,0,0,0
3037,欣興,4854,11361,12573,4,-38,229,-404,1
8028,昇陽半導體,4193,5364,3688,4,-1,-131,-163,0
4958,臻鼎-KY,3984,156,4017,2,-6,484,-3501,2
3231,緯創,3895,12368,2527,2,-1332,-1302,74,4
6213,聯茂,3859,5841,13005,5,0,0,0,0
8039,台虹,3856,7160,11770,3,-2,-8,2,1
2313,華通,3839,-10677,-17858,1,246,644,562,4
6274,台燿,3234,-512,2624,3,-444,-7046,-11608,0
6531,愛普*,2987,5796,6378,5,0,1,27,3
2327,國巨,2867,-9029,-15230,1,-346,-766,406,2
6191,精成科,2858,5193,7566,5,-1071,-5895,-5867,1
2481,強茂,2718,21521,15139,3,-1619,-2975,-4701,0
3260,威剛,2293,3868,11959,3,0,109,109,3
5340,建榮,2290,369,953,2,0,0,0,0
2486,一詮,1679,2587,3423,4,935,935,422,1
4977,眾達-KY,1570,3064,2787,4,0,0,0,0
2412,中華電,1561,9779,17827,5,-113,-477,-1140,1
3036,文曄,1442,2131,2728,3,938,3002,6987,5
4967,十銓,1436,452,749,2,0,-1,-2,1
2376,技嘉,1385,3273,7297,4,3,292,322,5
6415,矽力*-KY,1130,885,1270,3,200,507,355,3
3211,順達,1002,-3823,-4552,2,416,970,2280,5
8021,尖點,908,603,1134,3,-45,7,-10,1
6488,環球晶,848,-854,-743,3,-369,-530,-669,2
6187,萬潤,800,983,818,3,0,0,144,1
8046,南電,485,489,776,4,-191,-298,-250,3
2308,台達電,267,-433,360,3,-183,70,1182,3
3443,創意,233,529,582,4,-230,-595,-664,0
3081,聯亞,151,-417,-1657,1,-22,-227,1463,2
3131,弘塑,130,552,613,4,14,14,58,2
6669,緯穎,109,651,223,3,-264,-680,-747,2
