股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
5880,合庫金,42650,62510,82708,5,703,2017,2584,5
2344,華邦電,36320,2979,-5310,2,-9683,-11835,-26050,2
2618,長榮航,30788,77887,113149,5,-18,-2179,-370,3
2884,玉山金,28515,30788,47246,5,256,1984,3163,5
2834,臺企銀,27497,7601,39516,3,20,194,257,5
1216,統一,25435,26753,27187,4,-358,3297,6016,4
2867,三商壽,19092,26254,43709,5,0,0,0,0
2892,第一金,14858,1719,7286,3,500,3037,4403,5
2002,中鋼,13814,30330,78229,5,59,165,165,3
2887,台新金,10702,-18499,1721,3,-500,5726,5737,3
2886,兆豐金,10567,5738,3104,1,3502,11511,13597,5
5876,上海商銀,9201,26687,36154,5,-13,82,3498,4
2845,遠東銀,9162,12352,19752,4,3,2049,2558,4
2801,彰銀,8945,-4954,-1426,2,-37,842,1538,4
9904,寶成,8263,8551,8222,3,-14,22,71,4
2412,中華電,7429,30053,50423,5,76,-424,365,4
4904,遠傳,6464,19581,33414,5,-274,-1964,-1597,3
2327,國巨,6347,4754,10905,3,-4636,-7880,-12838,0
2812,台中銀,5685,6714,32018,4,-20,7,50,4
2633,台灣高鐵,5648,9244,10724,5,74,501,2157,4
2889,國票金,5630,3692,7492,3,3,8,10,3
3045,台灣大,5458,14920,30724,5,55,717,1164,5
2891,中信金,5404,4849,685,3,-427,13029,13799,4
2882,國泰金,3984,-11710,-7197,3,2752,9814,11199,5
2912,統一超,3809,3276,1488,2,-83,947,2278,4
2881,富邦金,3371,-3532,2400,4,894,6521,7056,5
2486,一詮,3327,3161,1214,3,225,405,605,5
6147,頎邦,2988,14230,36140,5,-957,-2972,-9295,1
5871,中租-KY,2981,14298,16376,5,-155,887,1916,3
6531,愛普*,2335,2705,2876,4,-426,-326,-312,2
8261,富鼎,2281,3964,5144,5,2,2,12,3
5483,中美晶,2198,2697,2338,3,91,-2484,-406,3
4919,新唐,2164,6554,9141,5,0,7,7,1
3105,穩懋,2052,980,2421,2,-155,-1375,-1269,2
2385,群光,2010,-454,-220,3,1,27,54,5
3532,台勝科,1925,3685,5979,5,-81,-1155,-3030,0
3450,聯鈞,1924,3591,-112,3,1,195,1564,5
8021,尖點,1539,2080,1404,2,33,42,1288,3
2603,長榮,1340,6478,10193,5,69,293,381,5
3260,威剛,1293,2596,3112,4,-4,144,152,2
6451,訊芯-KY,1076,2286,2129,4,0,0,0,0
1477,聚陽,1072,1571,1567,4,1,61,253,5
2727,王品,998,1995,2152,4,1,2,3,3
1476,儒鴻,990,1263,1595,5,3,6,50,4
2472,立隆電,987,3764,4405,5,-974,-896,-882,2
3293,鈊象,949,2643,3025,5,1,8,15,4
3211,順達,898,766,-478,2,51,84,212,3
2451,創見,811,-768,-5262,2,-25,-17,-5,4
6415,矽力*-KY,800,3497,3835,4,-9,-2472,-2396,1
4583,台灣精銳,737,795,806,5,0,0,0,0
3167,大量,680,1248,1517,5,-375,-813,-1346,0
2207,和泰車,570,1381,1410,4,1,4,70,4
6414,樺漢,551,615,2607,4,0,-1,-20,0
6442,光聖,196,381,-418,2,-5,31,68,4
3533,嘉澤,170,309,170,3,1,-206,-224,2
6515,穎崴,141,244,267,3,-153,-252,-319,2
