股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
3211,順達,BBU_電池模組,6.62,13.28,16868
4931,新盛力,BBU_電池模組,3.75,6.51,5510
3625,西勝,BBU_電池模組,2.74,3.52,1045
6781,AES-KY,BBU_電池模組,1.93,1.54,2120
3323,加百裕,BBU_電池模組,1.66,2.05,6269
6121,新普,BBU_電池模組,0.41,3.81,585
6558,興能高,BBU_電池模組,0.26,0.93,1428
5309,系統電,BBU_電源供應器與整合,3.26,9.76,56305
3625,西勝,BBU_電源供應器與整合,2.74,3.52,1045
3305,昇貿,BBU_電源供應器與整合,0.31,-2.12,2753
2308,台達電,BBU_電源供應器與整合,-2.38,-3.47,12453
2301,光寶科,BBU_電源供應器與整合,-3.76,-4.36,15257
3265,台星科,CPO_先進封裝測試,9.76,13.52,4628
6257,矽格,CPO_先進封裝測試,4.46,3.0,18282
3363,上詮,CPO_先進封裝測試,1.24,1.12,911
6451,訊芯-KY,CPO_先進封裝測試,0.29,7.81,5085
6515,穎崴,CPO_先進封裝測試,-0.74,5.75,668
6442,光聖,CPO_光通訊,0.8,5.0,1257
2455,全新,CPO_光通訊,-0.35,0.71,3876
3163,波若威,CPO_光通訊,-1.17,16.06,27649
4977,眾達-KY,CPO_光通訊,-2.13,8.66,27992
4979,華星光,CPO_光通訊,-2.69,2.84,52737
3081,聯亞,CPO_光通訊,-5.68,0.36,930
8054,安國,IC設計,4.64,3.53,10205
2388,威盛,IC設計,2.62,17.05,27540
3443,創意,IC設計,1.16,1.39,3849
3443,創意,IC設計,1.16,1.39,3849
6531,愛普*,IC設計,0.5,-0.61,1934
3035,智原,IC設計,-2.01,-1.16,3218
3035,智原,IC設計,-2.01,-1.16,3218
3529,力旺,IC設計,-2.07,-4.55,1045
6643,M31,IC設計,-2.18,-4.27,635
3661,世芯-KY,IC設計,-2.23,5.61,1733
3661,世芯-KY,IC設計,-2.23,5.61,1733
6533,晶心科,IC設計,-3.86,-2.79,891
2454,聯發科,IC設計,-4.45,-3.12,10005
3715,定穎投控,PCB,3.85,3.85,70195
5469,瀚宇博,PCB,1.24,2.3,12037
2316,楠梓電,PCB,0.93,1.4,5552
1815,富喬,PCB,0.47,0.59,112583
2383,台光電,PCB,-0.31,7.41,4675
4958,臻鼎-KY,PCB,-0.34,-0.68,8123
6213,聯茂,PCB,-0.43,1.78,8171
6274,台燿,PCB,-0.46,2.14,14973
2313,華通,PCB,-0.48,-1.54,5420
3189,景碩,PCB,-0.66,-2.88,18231
8046,南電,PCB,-0.71,2.96,12188
8358,金居,PCB,-1.08,13.11,83582
3037,欣興,PCB,-1.1,2.04,36200
2368,金像電,PCB,-2.11,2.55,9874
2367,燿華,PCB,-3.06,0.2,9590
3715,定穎投控,TPU_伺服器主板與印刷電路板,3.85,3.85,70195
5469,瀚宇博,TPU_伺服器主板與印刷電路板,1.24,2.3,12037
2383,台光電,TPU_伺服器主板與印刷電路板,-0.31,7.41,4675
3037,欣興,TPU_伺服器主板與印刷電路板,-1.1,2.04,36200
2368,金像電,TPU_伺服器主板與印刷電路板,-2.11,2.55,9874
2345,智邦,TPU_光通訊與連接器,4.13,16.17,16597
6805,富世達,TPU_光通訊與連接器,3.58,1.27,3411
6442,光聖,TPU_光通訊與連接器,0.8,5.0,1257
3081,聯亞,TPU_光通訊與連接器,-5.68,0.36,930
6805,富世達,TPU_散熱,3.58,1.27,3411
3324,雙鴻,TPU_散熱,3.12,3.47,3143
3017,奇鋐,TPU_散熱,0.35,3.25,6854
6831,未知,TPU_散熱,-0.42,-1.87,1405
6209,今國光,光學元件或組裝,2.41,4.39,19412
6668,中揚光,光學元件或組裝,1.9,-0.92,449
3362,先進光,光學元件或組裝,1.11,0.33,384
6442,光聖,光學元件或組裝,0.8,5.0,1257
3504,揚明光,光學元件或組裝,0.78,0.19,191
4976,佳凌,光學元件或組裝,0.33,-2.24,327
6451,訊芯-KY,光學元件或組裝,0.29,7.81,5085
3019,亞光,光學元件或組裝,0.0,-2.49,1635
3008,大立光,光學元件或組裝,-0.24,-0.95,485
2374,佳能,光學元件或組裝,-1.36,-4.33,5532
4977,眾達-KY,光學元件或組裝,-2.13,8.66,27992
3406,玉晶光,光學元件或組裝,-2.49,-7.1,1357
4979,華星光,光學元件或組裝,-2.69,2.84,52737
3450,聯鈞,光學元件或組裝,-4.09,-2.88,27881
3081,聯亞,光學元件或組裝,-5.68,0.36,930
4770,上品,化學,3.93,0.42,896
1727,中華化,化學,3.29,3.43,8314
1304,台聚,化學,2.63,2.18,2827
4755,三福化,化學,2.51,2.51,327
1717,長興,化學,2.36,2.87,15593
4749,新應材,化學,1.64,1.0,1904
1773,勝一,化學,1.47,-1.08,414
1723,中碳,化學,1.17,-1.0,563
1710,東聯,化學,0.41,-0.81,753
1409,新纖,化學,0.34,-2.32,2562
1301,台塑,化學,0.13,-4.89,14845
1725,元禎,化學,0.0,-1.9,34
4720,德淵,化學,0.0,0.71,147
1722,台肥,化學,-0.21,-0.21,1370
1402,遠東新,化學,-0.35,-1.23,4216
4763,材料-KY,化學,-1.38,-4.03,5715
1326,台化,化學,-1.55,-5.23,11425
6505,台塑化,化學,-2.41,-5.53,6513
1303,南亞,化學,-2.44,-5.52,73179
1440,南紡,化學,-4.88,-2.5,3517
6640,均華,半導體設備,4.49,11.66,636
6196,帆宣,半導體設備,2.73,6.06,3589
6187,萬潤,半導體設備,2.01,0.57,3334
3583,辛耘,半導體設備,1.36,3.54,1448
3680,家登,半導體設備,0.58,-0.15,3182
3138,耀登,半導體設備,-1.22,-0.67,76
2460,建通,半導體設備,-3.62,9.62,681
1304,台聚,塑膠,2.63,2.18,2827
1313,聯成,塑膠,2.36,-1.81,1950
1309,台達化,塑膠,1.75,-1.28,724
1312,國喬,塑膠,1.73,2.17,3575
1308,亞聚,塑膠,1.46,1.83,1583
4306,炎洲,塑膠,1.44,2.18,1084
1314,中石化,塑膠,1.17,-0.89,10858
