股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2618,長榮航,61858,73892,61628,2,-12170,-811,8070,4
2303,聯電,23076,31729,54484,4,1928,-28735,-59198,1
2892,第一金,21282,40051,16039,4,124,15196,39282,5
2353,宏碁,16100,26372,37358,5,-520,-15106,-32902,0
2890,永豐金,14113,44294,20483,4,661,5756,32054,5
2884,玉山金,13981,44793,50024,4,350,-6771,7388,2
5880,合庫金,13774,27927,27683,4,131,103,260,3
3481,群創,13507,17562,-43742,2,100,269,658,3
2883,凱基金,13077,59390,99106,5,353,-5528,-12028,1
2867,三商壽,12411,22879,31849,5,0,0,0,0
2603,長榮,9202,2874,9779,4,71,91,47,4
2886,兆豐金,8799,5797,-28731,2,3498,23182,66468,5
2344,華邦電,8383,-10619,20454,3,-3579,-10486,-63903,0
2889,國票金,8220,17941,19843,4,0,0,0,0
2377,微星,7662,6025,4870,1,30,5328,10961,5
2880,華南金,6181,13778,8978,4,140,-1237,3987,4
6116,彩晶,5960,6913,4890,3,0,-81,-2488,0
1216,統一,5450,18232,26287,4,117,517,1311,5
3374,精材,5073,8727,6790,3,0,-1150,-1149,2
2881,富邦金,3685,10064,53519,5,62,-3935,-39468,1
2327,國巨,3476,12022,8258,3,-1618,-1756,-2467,1
2615,萬海,3313,-1467,8649,2,21,292,722,5
2357,華碩,3090,5537,7980,5,66,-1252,-1726,2
3035,智原,2904,1179,1963,4,1,1,1,1
2478,大毅,2753,-970,-1016,3,10,225,225,3
3189,景碩,2259,1687,-5206,3,1,-191,-733,2
2385,群光,2255,4209,6233,4,31,-1528,-5071,1
3026,禾伸堂,1690,-2786,-3951,2,2813,5773,8004,3
2313,華通,1349,-4386,-11719,2,7,31,10,4
2360,致茂,1253,1137,1234,2,-417,-1071,-1222,0
6147,頎邦,1226,-2278,-4401,2,130,-765,-6287,1
6805,富世達,1215,1531,903,3,-867,-1442,-1134,2
6525,捷敏-KY,1180,1328,753,2,0,-5,-13,0
4551,智伸科,1074,382,198,1,-218,-672,-672,0
3034,聯詠,1063,-106,-2039,1,568,1387,1981,5
6271,同欣電,989,-1000,-10681,2,430,237,258,4
5475,德宏,966,1388,1581,4,60,60,60,1
2376,技嘉,960,-1844,-4697,1,30,2028,4134,5
6415,矽力*-KY,901,295,310,3,40,35,0,1
2455,全新,890,-2136,-3620,2,445,543,542,4
4991,環宇-KY,829,-1472,-2002,1,-295,-387,-526,1
8021,尖點,619,800,166,3,0,-11,-415,1
3163,波若威,559,82,100,2,0,-157,-282,1
3293,鈊象,484,122,-351,1,21,402,817,5
6187,萬潤,454,222,454,3,-156,-163,-515,2
4958,臻鼎-KY,447,-1707,-3403,2,-295,-3400,-4338,1
2383,台光電,340,-1461,-1162,2,100,444,565,5
5289,宜鼎,307,463,-545,2,-554,-521,-419,2
8996,高力,261,497,355,4,25,-175,-889,1
5536,聖暉*,192,859,1366,5,70,-364,-447,1
3529,力旺,166,519,435,4,-145,-491,-843,1
3653,健策,111,33,94,4,-32,-57,-242,1
3017,奇鋐,106,-734,-323,3,-10,266,1896,4
3131,弘塑,92,168,129,2,-166,-289,-128,2
6510,精測,74,-79,-38,3,-47,-218,-408,0
