排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_伺服器主板與印刷電路板,4.37,100.0,5/5,98.43,198.78,1.1,-35.56
2,低軌衛星,5.59,100.0,7/7,30.55,38.54,4.67,-2.3
3,IC設計,2.78,84.62,11/13,196.4,210.83,-22.27,-48.86
4,CPO_光通訊,1.1,83.33,5/6,12.23,-1.08,2.6,22.78
5,TPU_光通訊與連接器,1.39,75.0,3/4,5.31,10.21,10.47,18.71
6,PCB,2.78,73.33,11/15,153.39,295.63,5.84,-11.56
7,網通設備組件,2.01,70.0,14/20,173.21,199.7,-26.17,-34.59
8,CPO_先進封裝測試,0.32,60.0,3/5,5.17,4.86,2.28,5.92
9,光學元件或組裝,0.71,60.0,9/15,7.53,6.58,3.4,20.14
10,記憶體控制IC,-0.41,60.0,3/5,-21.52,-24.13,0.15,1.21
11,BBU_電源供應器與整合,0.78,60.0,3/5,-29.24,59.76,2.58,7.65
12,機器人,0.44,57.14,8/14,-24.17,45.7,1.78,6.42
13,半導體設備,0.29,57.14,4/7,0.26,1.81,0.21,0.86
14,廠務系統與水處理,0.15,57.14,4/7,2.26,1.12,-0.01,-0.23
15,電池或電源,-0.74,55.0,11/20,-21.69,76.07,0.61,2.71
16,鋼鐵,0.12,53.33,8/15,-1.19,-10.17,-2.97,-2.1
17,軟體設計,1.19,53.33,8/15,0.17,-0.31,-0.01,-0.02
18,電器電纜,-1.5,50.0,5/10,10.23,-2.6,-2.47,-5.86
19,塑膠,0.25,50.0,9/18,20.25,65.36,-0.17,-0.39
20,TPU_散熱,-0.01,50.0,2/4,-7.33,-3.81,6.59,12.28
21,金融,0.23,47.37,9/19,20.24,65.36,-0.17,-0.39
22,化學,-0.15,45.0,9/20,18.18,57.94,-0.01,-1.69
23,BBU_電池模組,-0.28,42.86,3/7,-0.95,1.88,-0.25,-4.83
24,工業自動化與機器人,-0.42,42.86,3/7,2.58,4.04,-0.0,-0.04
25,無塵室與機電工程,-0.43,40.0,2/5,-5.84,2.34,-0.63,-15.11
26,軍工_無人機相關,0.98,33.33,3/9,152.26,182.01,-22.49,-33.05
27,玻璃,-0.86,33.33,5/15,63.83,119.7,-0.95,5.68
28,銅,-1.59,30.0,3/10,48.3,154.65,-0.54,-24.6
29,記憶體模組,-0.69,28.57,2/7,4.04,-24.52,0.1,35.47
30,記憶體製造,-3.29,25.0,1/4,-66.33,-113.15,5.68,-3.11
31,紡織,-0.05,25.0,5/20,-2.17,-2.21,-0.87,-2.71
32,銀,-0.81,25.0,1/4,-21.94,40.17,1.56,11.86
33,被動元件,-1.78,15.79,3/19,-42.97,96.15,3.97,18.43
34,航運,-1.67,6.67,1/15,-26.47,22.48,-0.57,-11.99
35,記憶體封裝與測試,-1.89,0.0,0/4,12.23,15.84,-0.53,-0.56
36,軍工_航太製造與維修,-1.6,0.0,0/6,1.35,-1.54,0.0,0.51
37,造紙,-0.6,0.0,0/7,-0.19,-0.71,-0.0,-0.01
