排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,3095,及成,通信網路類,21.3,64.4,36.6,36.65,34.2,35.5,-3.0
2,4747,強生*,生技醫療類,33.6,50.6,,,,,
3,6226,光鼎,光電業,9.0,45.7,21.65,34.0,21.0,34.0,57.0
4,3163,波若威,通信網路類,8.5,29.5,734.0,814.0,690.0,754.0,2.7
5,4939,亞電,電子零組件類,7.5,21.3,62.7,95.2,60.8,92.8,48.0
6,1815,富喬,電子零組件類,8.1,19.6,107.0,128.0,102.5,125.5,17.3
7,2426,鼎元,光電業,6.0,12.7,80.0,102.0,80.0,96.1,20.1
8,3260,威剛,半導體類,4.1,12.5,400.5,459.5,399.0,412.0,2.9
9,8103,瀚荃,全部,4.8,11.3,91.5,117.0,88.2,108.5,18.6
10,6016,康和證,金融業,5.4,10.6,19.35,21.95,19.0,21.35,10.3
11,2464,盟立,全部,5.1,10.1,181.5,216.5,173.0,190.0,4.7
12,4167,松瑞藥,生技醫療類,3.8,9.0,20.7,21.2,19.95,20.0,-3.4
13,4979,華星光,通信網路類,3.7,8.8,570.0,654.0,520.0,610.0,7.0
14,8358,金居,電子零組件類,3.3,8.8,417.0,543.0,399.0,543.0,30.2
15,8033,雷虎,全部,2.7,8.7,190.5,211.5,174.0,189.5,-0.5
16,3490,單井,光電業類,2.3,8.3,50.1,57.8,49.55,50.3,0.4
17,3105,穩懋,半導體類,4.1,8.3,377.0,461.5,349.5,439.0,16.4
18,6269,台郡,全部,2.6,8.0,63.6,78.8,59.0,75.0,17.9
19,8111,立碁,光電業類,2.7,7.6,59.9,67.5,59.4,62.4,4.2
20,3376,新日興,全部,3.2,7.4,188.5,222.0,181.0,217.0,15.1
21,3339,泰谷,光電業類,1.9,7.0,37.65,44.6,37.3,43.0,14.2
22,3234,光環,通信網路類,2.3,6.8,150.0,186.0,141.5,181.5,21.0
23,5425,台半,半導體類,2.3,6.6,90.3,104.5,83.8,96.3,6.6
24,3543,州巧,光電業,3.1,6.5,43.45,54.5,38.7,54.5,25.4
25,4303,信立,塑膠工業,1.3,6.4,50.7,55.0,38.7,39.0,-23.1
26,3406,玉晶光,光電業,3.5,6.3,653.0,917.0,628.0,917.0,40.4
27,3363,上詮,通信網路類,2.5,6.2,610.0,715.0,549.0,701.0,14.9
28,3324,雙鴻,其他電子類,2.9,6.2,987.0,1155.0,965.0,1140.0,15.5
29,4927,泰鼎-KY,全部,1.5,6.0,32.9,44.2,32.45,43.0,30.7
30,3094,聯傑,全部,0.8,5.4,36.1,41.7,35.4,40.8,13.0
31,5392,能率,光電業類,1.9,5.2,45.3,48.45,44.75,48.3,6.6
32,6104,創惟,半導體類,1.0,5.2,93.4,103.0,92.9,99.3,6.3
33,2221,大甲,其他,3.4,5.1,54.5,82.0,54.3,79.7,46.2
34,2351,順德,全部,3.7,5.1,182.0,247.0,177.0,239.5,31.6
35,6840,東研信超,其他電子類,2.5,5.0,82.0,100.0,78.0,98.4,20.0
36,6224,聚鼎,全部,1.9,5.0,73.5,81.2,72.5,74.5,1.4
37,3221,台嘉碩,通信網路類,1.2,4.8,47.9,51.3,46.05,48.8,1.9
38,3441,聯一光,光電業類,1.4,4.7,102.0,140.5,95.5,130.0,27.5
39,3374,精材,半導體類,2.6,4.5,304.0,386.0,289.0,386.0,27.0
40,7402,邑錡,光電業類,1.5,4.4,108.5,121.0,103.5,112.5,3.7
41,3484,崧騰,電子零組件類,1.4,4.4,50.5,51.6,49.6,50.3,-0.4
42,3556,禾瑞亞,半導體類,0.7,4.4,62.6,65.2,61.4,62.9,0.5
43,8271,宇瞻,全部,1.8,4.1,233.0,246.0,224.0,232.5,-0.2
44,6127,九豪,電子零組件類,0.9,4.0,49.0,54.3,46.15,50.8,3.7
45,4967,十銓,全部,0.8,4.0,266.5,291.5,264.0,273.5,2.6
46,1595,川寶,半導體類,1.8,3.9,62.9,66.8,61.4,66.0,4.9
47,4540,全球傳動,全部,1.2,3.8,59.0,62.8,54.8,60.2,2.0
48,3504,揚明光,光電業,2.4,3.7,78.4,94.1,76.9,89.5,14.2
49,6782,視陽,全部,1.6,3.3,205.0,248.5,199.0,241.5,17.8
50,6116,彩晶,光電業,1.3,3.3,13.9,15.15,13.65,14.5,4.3
