股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
1326,台化,44300,64696,90678,5,99,30,30,1
2887,台新金,24546,55607,65441,4,7383,10092,12196,5
1101,台泥,22642,22345,-5083,2,-1,-327,-324,1
2883,凱基金,18961,58393,99653,5,919,1133,-5196,3
8150,南茂,17373,16266,17355,3,-4,46,147,2
2886,兆豐金,16176,64810,77658,5,-1567,-6423,-6215,1
1301,台塑,15600,45868,83848,5,-1032,-1032,-1033,0
2892,第一金,15290,86430,109142,5,945,-409,-2123,1
2812,台中銀,15177,15066,17092,3,-2828,-2837,-2843,0
2317,鴻海,13474,10811,26989,3,698,1173,1064,4
1815,富喬,13459,39300,64303,5,180,-442,5303,4
1717,長興,10852,25777,36307,4,300,5950,5952,5
6182,合晶,10546,3276,-203,2,-157,-267,-167,1
2327,國巨,10023,-5660,-6450,2,-4130,-8877,-17074,0
3706,神達,9739,10608,12387,4,163,1584,1569,3
2880,華南金,9349,41199,41329,4,-4297,-8511,-9650,0
2890,永豐金,8809,35098,38814,4,-637,-556,-927,1
3105,穩懋,8587,3610,10325,4,2185,5482,11156,5
2885,元大金,8266,18110,19986,4,-1580,-4568,-4718,0
2354,鴻準,7957,4949,15609,4,21,17,-5,1
2897,王道銀行,7468,8429,15481,4,1252,1252,1252,1
4958,臻鼎-KY,7339,9454,12655,4,5692,7358,6131,3
3711,日月光投控,7292,-2213,533,3,-554,-2141,-4251,1
5876,上海商銀,7229,5764,4868,2,1264,-489,-478,2
3189,景碩,7170,-1021,2839,3,185,-3026,-488,3
2330,台積電,5730,4208,13913,4,103,-2622,-3460,1
1709,和益,5601,7650,-1445,2,0,0,0,0
4763,材料-KY,5490,6727,7914,3,989,999,1002,5
3042,晶技,5188,6631,9701,4,97,96,153,2
2449,京元電子,5110,0,1191,4,3123,6705,7661,5
6505,台塑化,5036,6761,10055,3,62,62,62,2
2603,長榮,5002,3427,12808,3,-779,-502,-5563,3
5483,中美晶,4974,-922,-2221,2,-68,-241,-1147,1
1504,東元,4537,-1120,8063,3,7,14,32,4
3037,欣興,4270,10150,13248,5,-2732,-2701,-914,3
2891,中信金,4170,5257,-886,4,7811,12983,12776,3
6239,力成,4130,6375,-3548,3,271,267,-219,1
2615,萬海,3786,407,2958,3,228,129,149,2
1216,統一,3755,6364,11341,4,-638,-2869,-2941,0
6488,環球晶,3545,156,-2656,2,47,-1314,-1769,2
2385,群光,2895,3363,5078,5,110,110,71,2
6271,同欣電,2750,3374,1577,3,0,-701,-701,0
2412,中華電,2171,-2308,-4658,1,-303,123,316,3
3034,聯詠,1821,1504,3785,4,630,1363,1265,3
2377,微星,1757,9521,10640,4,-76,-101,-22,1
3324,雙鴻,1739,5787,6131,4,167,1187,1282,4
3374,精材,1667,9130,12513,5,2070,11091,11089,3
6257,矽格,1626,158,-2746,2,293,-620,-648,2
2382,廣達,1618,3609,9875,4,2326,4086,4196,4
6933,AMAX-KY,1442,2205,2313,4,0,0,0,0
6213,聯茂,1380,2045,-1216,3,-1039,-3170,-4012,0
3231,緯創,1289,-11607,-14881,2,1141,2558,2352,3
3035,智原,1267,1493,2333,3,0,0,0,0
6217,中探針,1263,184,575,4,0,0,0,0
6285,啟碁,1204,1412,1452,3,-180,-448,-484,0
2395,研華,1116,1129,1162,3,424,426,408,2
2357,華碩,1106,1917,3290,4,1291,1624,1522,3
1503,士電,1064,-534,762,3,7,8,9,4
4576,大銀微系統,1028,941,1600,4,0,0,0,0
6173,信昌電,1027,3461,2141,2,66,66,66,1
2049,上銀,989,1050,1008,2,-81,-1001,-1000,1
1560,中砂,942,798,952,4,-30,-9,-138,2
3680,家登,886,887,1550,4,0,45,44,1
6196,帆宣,860,447,679,2,-150,-147,-216,1
1519,華城,737,-613,50,2,15,111,111,2
2486,一詮,732,1501,1127,4,0,0,63,2
6415,矽力*-KY,713,-1284,-1098,2,-424,-1064,-1104,0
3293,鈊象,547,3033,2521,4,-2115,-5586,-7885,0
8210,勤誠,541,743,646,3,-184,-246,-320,0
6274,台燿,526,1913,-1166,3,-832,-2285,-2547,1
6139,亞翔,497,-767,-1676,1,61,-321,-374,1
8021,尖點,460,-1390,-1264,2,63,63,-330,2
3693,營邦,401,870,1308,5,0,0,0,0
2345,智邦,359,-456,-246,2,-337,-1395,-1990,1
3363,上詮,352,-83,1210,4,0,0,0,0
3563,牧德,305,230,415,3,0,0,0,0
3533,嘉澤,301,158,-219,2,-28,-248,-321,1
6442,光聖,249,618,346,3,6,-92,-310,1
6805,富世達,224,1451,1627,4,0,89,1460,3
5269,祥碩,212,55,364,3,20,50,49,3
2404,漢唐,208,-182,-690,1,-17,120,119,1
3661,世芯-KY,145,590,257,3,55,190,188,4
2059,川湖,41,213,284,5,-24,-116,-173,0
