排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_光通訊,4.84,100.0,6/6,10.93,-0.63,3.72,8.39
2,TPU_光通訊與連接器,2.88,100.0,4/4,-9.07,-17.47,4.44,8.64
3,銅,2.74,80.0,8/10,29.35,111.02,-0.37,-11.56
4,銀,1.14,75.0,3/4,26.85,-6.95,-2.83,-0.89
5,PCB,2.33,73.33,11/15,24.36,132.48,-2.33,-2.39
6,半導體設備,0.42,71.43,5/7,1.18,-1.53,-0.18,0.51
7,記憶體模組,1.1,71.43,5/7,-16.05,-9.01,3.49,1.26
8,CPO_先進封裝測試,0.94,60.0,3/5,-3.4,0.29,-1.07,3.55
9,TPU_伺服器主板與印刷電路板,1.56,60.0,3/5,23.02,106.67,6.21,3.09
10,被動元件,0.35,57.89,11/19,27.36,-63.01,2.07,8.7
11,網通設備組件,0.54,55.0,11/20,38.32,221.9,5.43,-12.06
12,IC設計,0.71,53.85,7/13,20.09,235.65,-1.18,-7.25
13,記憶體封裝與測試,-0.75,50.0,2/4,-6.99,-3.44,-0.79,-0.75
14,TPU_散熱,0.34,50.0,2/4,9.34,2.5,3.14,8.77
15,光學元件或組裝,0.66,46.67,7/15,-0.04,-3.47,0.66,1.01
16,玻璃,0.75,46.67,7/15,-9.22,34.26,8.96,11.76
17,低軌衛星,-1.13,42.86,3/7,-13.6,-6.67,-10.49,-6.93
18,工業自動化與機器人,0.45,42.86,3/7,15.96,22.78,0.48,1.37
19,記憶體控制IC,-0.46,40.0,2/5,-7.38,-21.79,1.72,1.76
20,BBU_電源供應器與整合,-1.15,40.0,2/5,-3.87,-66.4,4.57,9.08
21,紡織,0.33,40.0,8/20,-1.18,1.5,-0.84,-2.47
22,金融,0.71,36.84,7/19,0.28,47.89,2.39,3.37
23,塑膠,0.7,33.33,6/18,0.28,47.9,2.39,3.37
24,廠務系統與水處理,-0.38,28.57,2/7,0.07,0.68,-0.02,-0.06
25,機器人,-0.62,28.57,4/14,14.86,-41.74,4.83,10.07
26,軟體設計,-0.42,26.67,4/15,-0.59,-0.15,-0.01,-0.03
27,記憶體製造,-0.69,25.0,1/4,-72.76,-196.34,19.37,26.17
28,軍工_無人機相關,-2.25,22.22,2/9,20.74,192.78,4.49,-0.48
29,鋼鐵,-0.82,20.0,3/15,-14.34,-2.84,-0.16,-3.12
30,電器電纜,-1.9,20.0,2/10,12.21,33.66,-0.52,-5.44
31,電池或電源,-1.27,20.0,4/20,16.81,-28.04,1.53,-0.92
32,無塵室與機電工程,-1.07,20.0,1/5,-8.56,-22.42,-2.73,-9.95
33,化學,-0.7,20.0,4/20,-1.62,44.04,0.86,1.57
34,航運,-0.78,13.33,2/15,4.71,-20.45,-10.87,-13.43
35,造紙,-0.85,0.0,0/7,-0.19,0.17,0.0,-0.01
36,軍工_航太製造與維修,-3.38,0.0,0/6,-3.77,-2.03,0.16,0.78
37,BBU_電池模組,-1.73,0.0,0/7,-2.19,-5.15,-2.23,-3.66
