股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
3481,群創,63417,-53452,138980,4,-551,1386,1476,3
2337,旺宏,39922,2424,-51965,2,1751,3186,5053,5
2344,華邦電,38693,9463,19831,3,-5297,-3121,7120,4
2408,南亞科,30306,35692,29000,3,-5724,-10737,-13728,0
2105,正新,14336,29353,54060,5,-20977,-71048,-110682,0
1303,南亞,13531,-5301,22808,3,331,-830,-3300,3
6443,元晶,12702,-6619,3964,3,0,0,0,0
6239,力成,6864,7338,7320,4,-2475,-5844,-6435,1
2367,燿華,5624,11754,14303,3,-22,-57,-236,0
6285,啟碁,5394,-2695,-4107,2,36,924,1086,3
8110,華東,5309,4089,2509,3,-12,-29,-35,0
5347,世界,5303,6928,1598,2,-1308,-5059,-6870,0
4977,眾達-KY,4252,-2476,2327,3,0,0,0,0
4989,榮科,3868,8265,7116,3,0,0,0,0
2486,一詮,3066,2284,291,3,-200,-58,-58,2
4958,臻鼎-KY,2955,460,-7105,2,7,31,2192,3
8299,群聯,2345,1649,-1049,3,-899,-1216,-1948,2
2458,義隆,2302,2803,3318,4,-59,-119,-791,0
3264,欣銓,2109,6148,8110,5,-144,-4304,-5952,1
2412,中華電,2017,23219,27640,5,100,2301,2366,4
3189,景碩,1753,2637,-4569,2,-496,-485,174,2
1560,中砂,1609,1568,1295,3,-7,33,27,2
6271,同欣電,1564,4359,3052,4,-159,-517,-230,1
3036,文曄,1452,5344,8541,5,-1028,-2747,-2357,2
4967,十銓,1336,1904,-3124,2,-3,-75,-76,0
2467,志聖,1173,4983,5491,5,-3,-33,-46,1
8046,南電,1077,2318,-90,4,-9,23,4938,4
2449,京元電子,1049,-2960,-4114,2,404,1248,1432,4
3711,日月光投控,1048,2998,14170,4,-886,-1843,-5738,2
6488,環球晶,1012,1022,100,2,1173,-158,-391,2
3260,威剛,1010,-2074,-11946,1,-858,-2441,-5090,0
6415,矽力*-KY,989,1184,1391,3,-356,-149,-291,3
2049,上銀,977,11531,9984,4,-142,-105,-428,1
6187,萬潤,873,2394,6792,5,0,23,23,2
3533,嘉澤,450,644,1264,3,-316,-232,-278,3
3163,波若威,418,664,1054,5,0,20,14,1
3443,創意,416,-206,1005,3,-45,-27,497,3
6442,光聖,403,-199,-114,4,-41,806,792,2
6781,AES-KY,259,35,-131,3,-138,-379,-592,0
2404,漢唐,202,1675,3485,5,454,632,861,5
3017,奇鋐,196,2202,5275,5,630,1342,1665,5
6805,富世達,188,50,995,3,38,757,1184,5
6510,精測,173,380,589,5,2,-230,-485,2
3131,弘塑,163,150,674,4,1,1,-104,1
