排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6182,合晶,半導體類,8.0,35.4,39.35,60.0,39.3,56.9,44.6
2,6672,騰輝電子-KY,全部,5.6,19.9,208.0,238.0,205.0,208.0,0.0
3,3481,群創,光電業,6.9,19.5,24.05,31.45,23.65,29.4,22.2
4,4977,眾達-KY,全部,3.2,18.9,214.0,235.5,0.0,0.0,-100.0
5,3094,聯傑,全部,3.1,18.8,27.05,34.2,26.2,30.9,14.2
6,3141,晶宏,半導體類,3.0,17.9,46.75,59.1,46.2,55.0,17.6
7,5328,華容,電子零組件類,6.2,14.9,25.15,30.1,24.55,26.9,7.0
8,2342,茂矽,全部,5.1,13.1,32.55,46.7,32.5,43.8,34.6
9,8227,巨有科技,半導體類,3.5,12.8,159.5,224.0,153.0,219.0,37.3
10,8042,金山電,電子零組件類,7.8,11.9,60.0,93.5,58.2,84.1,40.2
11,5351,鈺創,半導體類,3.4,11.7,72.0,81.5,68.8,75.1,4.3
12,2369,菱生,全部,3.4,11.1,30.4,34.25,29.55,30.7,1.0
13,3450,聯鈞,全部,3.9,10.4,304.0,414.5,301.5,410.0,34.9
14,6224,聚鼎,全部,3.7,10.2,73.0,96.5,69.9,78.7,7.8
15,2233,宇隆,全部,5.5,9.9,275.0,330.0,271.0,292.0,6.2
16,4973,廣穎,半導體類,2.9,9.5,88.1,105.0,82.1,99.6,13.1
17,2406,國碩,光電業,3.2,9.3,30.6,35.7,30.1,33.0,7.8
18,6261,久元,半導體類,4.0,9.3,95.8,136.0,88.1,120.5,25.8
19,4906,正文,全部,2.3,9.3,34.8,42.55,33.95,40.0,14.9
20,3033,威健,全部,3.3,9.1,36.0,45.3,35.55,43.85,21.8
21,3680,家登,半導體類,4.9,8.9,513.0,614.0,511.0,560.0,9.2
22,6770,力積電,全部,3.4,8.6,53.9,66.5,51.6,61.4,13.9
23,6173,信昌電,電子零組件類,5.1,8.5,86.2,122.0,84.0,122.0,41.5
24,6209,今國光,光電業,4.0,8.5,63.9,74.3,62.0,66.0,3.3
25,8358,金居,電子零組件類,4.6,8.3,374.0,500.0,369.5,454.5,21.5
26,6104,創惟,半導體類,1.2,7.9,99.1,106.0,97.1,102.0,2.9
27,6494,九齊,半導體類,1.3,7.3,54.1,58.6,52.5,55.8,3.1
28,2492,華新科,全部,4.2,7.1,134.5,164.5,131.0,156.0,16.0
29,8150,南茂,全部,5.2,7.1,67.3,103.0,67.2,92.7,37.7
30,5464,霖宏,電子零組件類,4.3,6.9,31.85,52.4,31.5,52.4,64.5
31,3715,定穎投控,全部,2.3,6.6,175.5,200.0,173.0,180.5,2.8
32,6244,茂迪,光電業類,2.1,6.5,26.65,31.25,25.85,29.7,11.4
33,2455,全新,全部,3.0,6.2,321.0,390.5,321.0,337.0,5.0
34,1597,直得,全部,3.6,6.2,143.5,190.0,140.5,173.0,20.6
35,3661,世芯-KY,全部,2.3,6.2,4135.0,5000.0,4095.0,4890.0,18.3
36,5410,國眾,資訊服務類,2.0,6.1,33.0,38.25,32.65,36.7,11.2
37,6588,東典光電,通信網路類,1.9,5.9,138.0,165.5,138.0,143.0,3.6
38,8086,宏捷科,半導體類,3.1,5.6,142.5,170.5,142.5,159.5,11.9
39,7402,邑錡,光電業類,2.2,5.6,119.0,129.5,118.0,125.5,5.5
40,6706,惠特,光電業,1.9,5.5,151.5,187.5,150.5,172.5,13.9
41,6138,茂達,半導體類,2.6,5.3,240.0,274.0,235.5,260.5,8.5
42,3060,銘異,全部,0.9,5.3,28.0,29.7,27.6,28.0,0.0
43,3483,力致,電腦及週邊類,1.1,5.3,94.1,96.5,90.6,91.3,-3.0
44,6658,聯策,全部,2.2,5.2,150.0,167.0,142.0,160.5,7.0
45,2375,凱美,全部,1.3,5.1,88.2,96.5,85.0,90.4,2.5
46,6155,鈞寶,全部,2.9,5.0,47.85,55.9,45.6,53.2,11.2
47,2344,華邦電,全部,3.1,5.0,94.2,117.0,88.8,107.0,13.6
48,3006,晶豪科,全部,2.5,4.9,179.5,215.0,166.5,202.0,12.5
49,2338,光罩,全部,2.3,4.9,47.8,57.0,46.6,51.5,7.7
50,2355,敬鵬,全部,2.1,4.8,50.5,54.8,50.2,51.8,2.6
