排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_先進封裝測試,3.05,100.0,5/5,5.72,4.2,-2.28,-5.92
2,記憶體製造,4.3,100.0,4/4,94.67,111.9,9.63,17.3
3,記憶體封裝與測試,1.71,100.0,4/4,7.79,15.21,-6.52,-17.22
4,記憶體模組,5.15,85.71,6/7,51.99,75.02,-19.38,-47.15
5,CPO_光通訊,2.5,83.33,5/6,-2.34,14.48,6.72,15.86
6,TPU_伺服器主板與印刷電路板,1.31,80.0,4/5,-3.76,-7.89,2.1,11.99
7,記憶體控制IC,3.0,80.0,4/5,6.71,7.33,-0.11,-0.35
8,TPU_光通訊與連接器,2.12,75.0,3/4,-8.37,-13.66,2.67,9.23
9,玻璃,1.64,73.33,11/15,5.33,29.71,11.06,27.57
10,光學元件或組裝,1.13,73.33,11/15,-9.42,-9.17,7.74,21.2
11,PCB,1.33,66.67,10/15,-3.41,65.76,6.35,20.26
12,BBU_電源供應器與整合,-0.02,60.0,3/5,6.4,9.03,-5.16,-0.93
13,銅,2.58,60.0,6/10,-6.66,-0.32,12.18,34.55
14,網通設備組件,1.45,55.0,11/20,-10.99,-13.96,9.06,41.85
15,銀,0.61,50.0,2/4,-6.52,-4.51,0.37,-0.25
16,BBU_電池模組,-0.82,42.86,3/7,2.56,-17.9,-4.83,4.66
17,廠務系統與水處理,1.19,42.86,3/7,0.03,-0.51,0.19,-0.04
18,被動元件,0.12,36.84,7/19,-10.6,-13.14,0.28,5.51
19,電池或電源,-0.5,35.0,7/20,9.55,3.52,-10.92,4.07
20,航運,0.09,33.33,5/15,8.52,-1.43,11.35,33.19
21,IC設計,-0.17,30.77,4/13,-19.83,-64.05,-3.36,-0.76
22,半導體設備,0.33,28.57,2/7,3.29,11.32,-2.23,-7.33
23,機器人,-0.43,28.57,4/14,11.51,35.39,-13.54,-34.21
24,低軌衛星,-0.29,28.57,2/7,-13.38,13.28,0.38,3.52
25,鋼鐵,0.2,26.67,4/15,-2.95,-5.11,6.27,17.95
26,化學,-1.17,25.0,5/20,-7.83,-8.68,-2.65,-5.26
27,紡織,-0.61,25.0,5/20,1.28,6.04,-2.88,-9.74
28,軍工_無人機相關,-0.99,22.22,2/9,-16.63,-57.95,-1.95,6.72
29,無塵室與機電工程,-1.39,20.0,1/5,-3.35,-6.44,-9.0,-26.6
30,軟體設計,-0.35,20.0,3/15,-0.38,1.34,0.07,0.07
31,電器電纜,0.06,20.0,2/10,7.68,29.18,-3.05,-6.77
32,工業自動化與機器人,-0.58,14.29,1/7,-0.09,0.59,-0.01,-0.01
33,金融,-1.04,5.26,1/19,-7.17,-14.13,-2.77,-6.75
34,塑膠,-1.25,0.0,0/18,-7.17,-14.13,-2.77,-6.75
35,軍工_航太製造與維修,-0.96,0.0,0/6,-4.55,-14.82,3.76,11.21
36,造紙,-0.53,0.0,0/7,-0.35,-0.58,0.03,0.03
37,TPU_散熱,-1.15,0.0,0/4,-9.89,26.69,2.7,18.18
