排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電池模組,6.49,100.0,7/7,8.02,1.25,-2.22,-7.32
2,BBU_電源供應器與整合,6.21,100.0,5/5,58.61,97.13,9.79,4.52
3,半導體設備,1.54,100.0,7/7,1.09,5.1,0.43,1.46
4,TPU_散熱,4.84,100.0,4/4,2.6,19.12,9.44,-17.12
5,TPU_伺服器主板與印刷電路板,3.96,100.0,5/5,38.68,132.65,-4.55,-47.13
6,電池或電源,4.34,90.0,18/20,87.68,147.98,7.57,-0.59
7,PCB,3.1,86.67,13/15,45.3,246.34,5.88,-13.0
8,被動元件,3.33,84.21,16/19,108.09,100.93,18.86,23.95
9,塑膠,2.13,83.33,15/18,37.9,36.84,0.62,-3.18
10,航運,0.84,80.0,12/15,22.92,82.16,-7.03,-20.77
11,軟體設計,1.03,80.0,12/15,0.4,-0.29,-0.0,-0.02
12,銅,3.96,80.0,8/10,79.38,137.04,1.59,-32.7
13,網通設備組件,2.28,80.0,16/20,10.89,71.43,-4.95,-26.61
14,金融,1.97,78.95,15/19,37.91,36.84,0.62,-3.18
15,銀,4.52,75.0,3/4,62.56,23.46,10.93,18.46
16,TPU_光通訊與連接器,3.5,75.0,3/4,-12.0,20.49,10.21,1.88
17,記憶體製造,1.74,75.0,3/4,-8.49,-55.78,0.3,-8.11
18,電器電纜,2.95,70.0,7/10,17.85,45.89,-0.82,-3.14
19,CPO_光通訊,0.54,66.67,4/6,-12.83,-16.07,3.17,21.44
20,機器人,1.18,64.29,9/14,50.18,76.74,9.05,5.26
21,CPO_先進封裝測試,-0.09,60.0,3/5,-7.15,-1.88,2.46,10.21
22,化學,0.76,60.0,12/20,30.28,34.68,0.17,-7.46
23,記憶體控制IC,1.65,60.0,3/5,-0.91,-3.11,1.07,1.04
24,光學元件或組裝,1.44,60.0,9/15,-13.63,-4.84,0.71,18.7
25,工業自動化與機器人,0.13,57.14,4/7,0.67,3.51,-0.0,-0.11
26,記憶體模組,2.54,57.14,4/7,4.96,-42.05,17.87,37.19
27,低軌衛星,1.81,57.14,4/7,-13.63,41.84,-1.96,-7.3
28,軍工_無人機相關,1.27,55.56,5/9,20.93,35.6,1.58,-8.46
29,IC設計,0.13,53.85,7/13,14.83,5.79,-14.39,-26.36
30,鋼鐵,-0.14,46.67,7/15,-18.57,8.59,1.33,0.74
31,玻璃,0.73,46.67,7/15,-10.86,138.27,9.58,7.69
32,廠務系統與水處理,-0.56,42.86,3/7,-1.6,0.8,-0.14,-0.25
33,紡織,-0.18,35.0,7/20,-0.06,1.26,-0.58,-3.21
34,造紙,0.31,28.57,2/7,-0.03,-0.9,-0.0,-0.01
35,記憶體封裝與測試,0.55,25.0,1/4,0.67,10.34,2.98,-0.8
36,無塵室與機電工程,-1.55,20.0,1/5,-5.88,2.1,-5.48,-14.14
37,軍工_航太製造與維修,-0.72,0.0,0/6,-5.1,-5.43,0.29,1.22
