股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
3231,緯創,32435,135662,154948,5,10842,10373,7278,2
2002,中鋼,30430,95970,118674,5,0,-26,-65,1
2883,凱基金,16826,72968,78051,4,169,1413,3713,3
2618,長榮航,16212,33304,66398,5,462,-5854,-15816,1
1402,遠東新,13889,21937,36393,5,3225,3074,5402,3
2609,陽明,11649,10842,22740,3,21,-76,-251,1
2887,台新金,11564,-11016,-95560,1,-548,19407,85604,4
2834,臺企銀,10819,-9632,-25706,2,48,8,30,2
2634,漢翔,10622,-11907,4568,4,61,1062,1438,4
2890,永豐金,9501,3161,-25095,1,60,13190,37071,5
3045,台灣大,8958,17815,33261,5,323,-2954,-6087,1
2615,萬海,8900,13707,30142,5,90,158,433,5
2303,聯電,8442,7658,-12864,2,-11282,-22205,-41834,0
2324,仁寶,7427,25503,24271,4,146,263,-286,4
8112,至上,7405,21615,27481,4,0,-380,-616,0
4904,遠傳,7382,17270,25017,5,266,-5589,-9048,1
2884,玉山金,6869,8828,54981,4,446,380,3617,4
2412,中華電,6764,13194,30004,5,696,479,1233,2
8039,台虹,6418,2918,-2871,1,0,149,209,3
4938,和碩,6347,28278,33035,4,-210,-4623,-9279,0
5876,上海商銀,5005,8802,22354,4,1639,-1875,-5855,1
2356,英業達,3765,23867,42641,5,28,-11968,-20102,1
1303,南亞,3280,-17780,-47101,1,583,6027,22893,5
6488,環球晶,3194,1823,-990,1,-1358,-1500,-1174,2
2603,長榮,2823,10513,22222,5,10,-2035,-4383,1
2481,強茂,2719,-9509,-13973,2,-2985,-4082,-1414,2
6182,合晶,2690,11125,15570,3,-172,-4670,-21013,0
2881,富邦金,2486,8312,8394,4,136,224,8172,4
2344,華邦電,2330,10125,6718,3,-14364,-14470,-19200,1
3014,聯陽,1928,2013,2258,4,0,-66,-102,0
2327,國巨,1479,-2416,-4298,2,-969,-938,-2705,2
3532,台勝科,1295,-806,-2366,1,-1123,-1063,290,3
3034,聯詠,1090,5067,7277,5,99,-1109,-2361,1
8069,元太,1054,-822,-2350,2,377,3305,4610,5
6274,台燿,1001,53,1507,2,-337,191,-150,1
8114,振樺電,978,1878,2090,5,0,225,225,2
2357,華碩,901,4745,8097,5,-6,-809,-1640,0
3324,雙鴻,845,539,826,3,0,0,2,1
4979,華星光,754,-1573,-284,2,2356,2485,2089,2
2368,金像電,701,2114,3432,5,-434,-3885,-5511,0
8210,勤誠,648,952,1279,5,-169,-586,-566,2
6414,樺漢,510,2011,2349,5,0,-4,-4,0
2059,川湖,96,217,181,3,3,3,147,4
3131,弘塑,75,169,96,2,-154,-255,-220,2
6223,旺矽,40,-218,-531,2,21,224,313,5
6515,穎崴,33,-5,124,4,-71,-185,-308,0
