排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,3060,銘異,全部,6.6,32.2,30.35,38.95,30.15,37.9,24.9
2,6207,雷科,電子零組件類,6.7,30.6,131.0,171.0,124.0,165.5,26.3
3,3094,聯傑,全部,4.4,27.0,30.15,39.75,30.1,38.25,26.9
4,8088,品安,半導體類,5.4,26.1,60.0,69.9,59.8,69.2,15.3
5,3580,友威科,其他電子類,3.1,23.0,99.1,105.5,94.3,101.5,2.4
6,8261,富鼎,全部,8.7,20.9,166.0,215.0,163.0,215.0,29.5
7,3041,揚智,全部,4.9,20.8,24.75,29.8,24.5,28.15,13.7
8,6269,台郡,全部,4.1,12.3,68.0,81.8,67.7,79.6,17.1
9,4977,眾達-KY,全部,2.1,12.2,181.5,190.0,176.0,184.5,1.7
10,3360,尚立,電子通路類,3.2,12.2,14.9,16.85,14.7,16.25,9.1
11,6127,九豪,電子零組件類,2.7,11.9,81.5,85.0,75.8,84.4,3.6
12,5351,鈺創,半導體類,3.8,11.6,87.9,95.3,87.7,94.0,6.9
13,3390,旭軟,電子零組件類,3.2,11.0,27.65,30.4,27.6,28.5,3.1
14,2399,映泰,全部,3.4,9.7,47.6,57.5,47.2,48.05,0.9
15,6742,澤米,光電業,3.3,9.6,57.2,71.1,52.5,69.0,20.6
16,6202,盛群,全部,3.4,9.4,56.9,67.5,56.6,67.0,17.8
17,2489,瑞軒,光電業,3.0,9.2,42.8,49.6,41.65,48.15,12.5
18,3035,智原,全部,2.4,8.8,185.0,209.5,184.0,209.0,13.0
19,4721,美琪瑪,化學工業,3.1,8.6,94.5,111.0,90.6,100.5,6.3
20,6672,騰輝電子-KY,全部,2.2,8.4,219.0,249.0,218.5,245.5,12.1
21,6182,合晶,半導體類,3.3,8.2,88.9,122.0,87.0,120.0,35.0
22,8096,擎亞,電子通路類,4.3,8.0,127.0,156.5,126.0,155.5,22.4
23,2455,全新,全部,3.7,7.6,338.0,447.5,326.5,416.0,23.1
24,4541,晟田,其他,2.7,7.5,47.1,52.4,47.05,50.9,8.1
25,3019,亞光,光電業,2.9,7.3,149.5,168.5,145.5,160.5,7.4
26,2342,茂矽,全部,2.9,7.2,40.55,55.2,40.55,55.2,36.1
27,2493,揚博,全部,3.7,6.9,207.0,273.5,207.0,273.5,32.1
28,2375,凱美,全部,2.3,6.9,173.0,219.0,169.0,219.0,26.6
29,3715,定穎投控,全部,2.2,6.8,172.0,185.0,166.5,179.0,4.1
30,3550,聯穎,全部,3.4,6.7,30.2,37.25,27.6,37.25,23.3
31,3356,奇偶,光電業,1.9,6.6,55.8,62.2,55.5,60.4,8.2
32,2478,大毅,全部,4.2,6.4,189.0,241.0,168.0,234.0,23.8
33,2401,凌陽,全部,2.5,6.3,28.35,34.15,28.3,32.25,13.8
34,6164,華興,光電業,1.6,6.2,12.4,13.65,12.4,13.35,7.7
35,2243,宏旭-KY,全部,3.5,5.7,34.45,51.7,34.1,51.7,50.1
36,8034,榮群,通信網路類,1.0,5.7,23.45,23.9,23.2,23.4,-0.2
37,4513,福裕,電機機械,3.0,5.6,15.75,18.2,15.4,17.45,10.8
38,6150,撼訊,電腦及週邊類,0.8,5.4,63.0,66.8,62.4,64.3,2.1
39,1727,中華化,全部,2.8,5.3,87.6,97.9,84.7,94.1,7.4
40,6727,亞泰金屬,電子零組件類,1.2,5.2,420.0,449.0,389.0,449.0,6.9
41,6179,亞通,其他,1.9,5.0,23.8,27.15,23.35,26.8,12.6
42,5483,中美晶,半導體類,2.9,4.9,152.0,189.0,151.5,181.0,19.1
43,2316,楠梓電,全部,3.2,4.9,159.0,205.5,154.0,205.5,29.2
44,8155,博智,電子零組件類,2.3,4.8,363.5,414.0,351.0,404.5,11.3
45,3059,華晶科,光電業,1.2,4.8,46.85,51.5,46.0,48.85,4.3
46,3576,聯合再生,光電業,1.6,4.7,18.6,21.75,18.0,18.0,-3.2
47,6693,廣閎科,半導體類,2.0,4.7,159.5,215.0,154.5,215.0,34.8
48,2618,長榮航,全部,3.2,4.5,38.1,43.7,38.05,42.55,11.7
49,2409,友達,光電業,1.9,4.4,24.6,28.6,23.35,28.15,14.4
50,4968,立積,全部,0.7,4.2,107.0,114.0,106.0,113.5,6.1
