股票代碼,公司名稱,風險等級,累計注意股次數,連續天數,預測處置原因,最新收盤價,漲幅門檻,跌幅門檻
1528,恩德,高,4,4,連續4日注意股（已達連續3日標準）,21.9,+6.0% (>23.16),-6.0% (<20.54)
3060,銘異,高,4,3,連續3日注意股（已達連續3日標準）,36.35,+6.0% (>35.03),-6.0% (<31.07)
8422,可寧衛*,高,10,3,連續3日注意股（已達連續3日標準）,34.9,+6.0% (>33.66),-6.0% (<29.84)
6205,詮欣,高,4,4,連續4日注意股（已達連續3日標準）,58.9,+6.0% (>63.49),-6.0% (<56.31)
5521,工信,高,4,4,連續4日注意股（已達連續3日標準）,23.9,+6.0% (>23.05),-6.0% (<20.45)
3535,晶彩科,高,4,3,連續3日注意股（已達連續3日標準）,91.4,+6.0% (>97.10),-6.0% (<86.10)
1721,三晃,高,3,3,連續3日注意股（已達連續3日標準）,16.0,+6.0% (>17.86),-6.0% (<15.84)
3229,晟鈦,高,5,3,連續3日注意股（已達連續3日標準）,25.5,+6.0% (>25.55),-6.0% (<22.65)
3135,凌航,高,4,4,連續4日注意股（已達連續3日標準）,96.0,+6.0% (>95.29),-6.0% (<84.51)
3308,聯德,高,4,4,連續4日注意股（已達連續3日標準）,21.1,+6.0% (>22.90),-6.0% (<20.30)
3057,喬鼎,高,4,4,連續4日注意股（已達連續3日標準）,22.9,+6.0% (>25.33),-6.0% (<22.47)
2027,大成鋼,高,4,4,連續4日注意股（已達連續3日標準）,37.5,+6.0% (>37.15),-6.0% (<32.95)
1735,日勝化,高,3,3,連續3日注意股（已達連續3日標準）,17.65,+6.0% (>18.60),-6.0% (<16.50)
8499,鼎炫-KY,高,3,3,連續3日注意股（已達連續3日標準）,324.5,+6.0% (>336.02),-6.0% (<297.98)
3092,鴻碩,極高,5,5,連續5日注意股（已達連續3日標準）,27.5,+6.0% (>27.35),-6.0% (<24.25)
3006,晶豪科,極高,7,6,連續6日注意股（已達連續3日標準）,146.5,+6.0% (>153.17),-6.0% (<135.83)
2413,環科,極高,7,5,連續5日注意股（已達連續3日標準）,42.95,+6.0% (>46.53),-6.0% (<41.27)
3481,群創,極高,6,6,連續6日注意股（已達連續3日標準）,22.15,+6.0% (>23.16),-6.0% (<20.54)
2349,錸德,極高,6,6,連續6日注意股（已達連續3日標準）,16.15,+6.0% (>15.58),-6.0% (<13.82)
3701,大眾控,極高,5,5,連續5日注意股（已達連續3日標準）,50.5,+6.0% (>52.31),-6.0% (<46.39)
4764,雙鍵,極高,5,5,連續5日注意股（已達連續3日標準）,131.5,+6.0% (>137.27),-6.0% (<121.73)
4967,十銓,極高,11,5,連續5日注意股（已達連續3日標準）,201.0,+6.0% (>215.18),-6.0% (<190.82)
4989,榮科,極高,6,5,連續5日注意股（已達連續3日標準）,49.85,+6.0% (>52.89),-6.0% (<46.91)
2344,華邦電,極高,12,5,連續5日注意股（已達連續3日標準）,106.5,+6.0% (>110.24),-6.0% (<97.76)
6770,力積電,極高,6,5,連續5日注意股（已達連續3日標準）,49.2,+6.0% (>50.62),-6.0% (<44.88)
8438,昶昕,極高,6,6,連續6日注意股（已達連續3日標準）,49.55,+6.0% (>51.94),-6.0% (<46.06)
