排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,軍工_航太製造與維修,1.8,100.0,6/6,-0.38,-0.51,0.03,-0.18
2,軍工_無人機相關,1.47,88.89,8/9,18.76,-31.06,1.8,-1.89
3,鋼鐵,1.14,80.0,12/15,1.93,6.06,0.1,-0.04
4,航運,1.05,80.0,12/15,3.36,8.07,3.03,3.85
5,TPU_光通訊與連接器,1.84,75.0,3/4,-14.86,11.69,12.25,26.88
6,金融,1.33,66.67,12/18,-1.01,-7.54,0.08,-2.84
7,塑膠,1.33,66.67,12/18,-1.01,-7.54,0.08,-2.84
8,化學,0.78,65.0,13/20,-3.72,-10.06,-0.27,-3.1
9,無塵室與機電工程,1.35,60.0,3/5,-4.17,5.34,4.44,32.28
10,BBU_電池模組,0.17,57.14,4/7,-1.18,-6.34,1.57,1.64
11,廠務系統與水處理,-0.97,57.14,4/7,1.61,6.03,0.39,0.35
12,造紙,0.3,57.14,4/7,0.2,0.38,0.0,-0.01
13,網通設備組件,0.21,50.0,10/20,-15.13,-72.81,8.79,15.15
14,紡織,0.09,50.0,10/20,-0.55,-2.42,-1.33,-2.39
15,半導體設備,0.75,42.86,3/7,-1.35,4.18,-1.42,-0.61
16,電池或電源,-0.37,40.0,8/20,-14.57,-46.24,-0.25,-5.08
17,電器電纜,-1.7,40.0,4/10,-9.73,12.28,2.94,4.65
18,PCB,0.05,33.33,5/15,-12.33,-12.21,2.62,11.08
19,玻璃,-0.55,33.33,5/15,-5.94,10.29,-1.42,-6.04
20,光學元件或組裝,-0.91,33.33,5/15,-10.13,-12.4,-0.34,-7.5
21,CPO_光通訊,-0.85,33.33,2/6,-9.85,-2.44,-1.75,-5.39
22,軟體設計,-0.25,33.33,5/15,-0.16,-1.09,-0.04,-0.43
23,銅,-0.86,30.0,3/10,-14.04,6.18,3.36,10.16
24,記憶體模組,-0.6,28.57,2/7,-7.0,-10.57,-1.3,6.44
25,銀,-1.2,25.0,1/4,-17.46,-46.27,-0.27,1.92
26,記憶體製造,-1.3,25.0,1/4,-75.71,19.3,2.75,4.04
27,記憶體封裝與測試,-2.0,25.0,1/4,0.22,10.81,-2.84,-5.27
28,TPU_伺服器主板與印刷電路板,-1.07,20.0,1/5,-10.42,-29.28,2.26,11.08
29,CPO_先進封裝測試,-2.1,20.0,1/5,-7.21,-8.13,-1.59,-2.63
30,BBU_電源供應器與整合,0.66,20.0,1/5,-6.29,-41.28,-4.47,-11.32
31,工業自動化與機器人,-0.44,16.67,1/6,0.07,8.34,0.0,0.09
32,被動元件,-1.73,10.53,2/19,-29.66,-98.65,-3.57,-3.56
33,IC設計,-1.64,7.69,1/13,1.75,-48.75,-5.58,-15.28
34,機器人,-1.36,7.14,1/14,-11.69,-40.98,-4.74,-12.84
35,記憶體控制IC,-1.43,0.0,0/5,-0.47,1.7,-0.12,-0.24
36,TPU_散熱,-3.31,0.0,0/4,-19.07,-65.71,-4.24,3.98
