排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,5227,立凱-KY,電子零組件類,11.0,70.5,30.6,41.4,30.0,40.1,31.0
2,3372,典範,半導體類,7.8,16.7,17.6,17.7,15.5,16.4,-6.8
3,6683,雍智科技,半導體類,3.5,15.5,1245.0,1290.0,1090.0,1190.0,-4.4
4,3441,聯一光,光電業類,2.4,9.8,68.0,70.6,62.2,64.3,-5.4
5,3605,宏致,全部,3.9,7.5,83.0,95.1,72.5,91.0,9.6
6,8112,至上,全部,2.4,6.9,84.3,92.4,80.1,88.3,4.7
7,3231,緯創,全部,3.8,6.7,144.0,184.0,139.0,179.0,24.3
8,2485,兆赫,全部,1.4,6.7,45.85,45.9,40.0,40.2,-12.3
9,6485,點序,半導體類,1.6,6.4,68.1,70.8,61.1,62.9,-7.6
10,3163,波若威,通信網路類,2.0,6.2,688.0,817.0,587.0,705.0,2.5
11,4979,華星光,通信網路類,2.0,5.3,376.5,448.0,320.5,426.5,13.3
12,3043,科風,全部,1.0,5.2,21.7,21.7,20.0,20.75,-4.4
13,3576,聯合再生,光電業,1.6,4.7,17.65,20.8,16.85,18.3,3.7
14,2367,燿華,全部,1.2,4.4,46.5,46.75,41.45,42.1,-9.5
15,6658,聯策,全部,1.8,4.4,169.5,172.5,151.0,156.0,-8.0
16,6591,動力-KY,全部,1.1,4.3,44.75,45.5,42.5,45.3,1.2
17,2727,王品,全部,1.5,4.3,214.0,229.5,214.0,220.5,3.0
18,3236,千如,電子零組件類,1.3,4.2,52.0,52.3,42.0,42.0,-19.2
19,3088,艾訊,電腦及週邊類,2.0,4.0,136.0,159.0,123.0,150.5,10.7
20,5490,同亨,電腦及週邊類,1.4,4.0,29.7,35.1,27.95,32.7,10.1
21,3169,亞信,半導體類,1.4,4.0,100.5,110.5,95.1,102.0,1.5
22,4541,晟田,其他,1.6,4.0,69.1,81.6,65.1,71.4,3.3
23,3675,德微,半導體類,2.1,3.6,306.0,309.5,240.0,240.0,-21.6
24,3581,博磊,半導體類,2.1,3.6,115.0,126.0,105.0,112.5,-2.2
25,8050,廣積,電腦及週邊類,1.5,3.5,60.0,63.7,54.6,59.6,-0.7
26,3455,由田,光電業類,1.0,3.4,212.5,225.0,185.0,188.0,-11.5
27,6560,欣普羅,光電業類,1.3,3.3,34.7,34.7,31.8,33.5,-3.5
28,6138,茂達,半導體類,1.5,3.2,315.0,349.5,278.5,333.0,5.7
29,6568,宏觀,半導體類,1.3,3.2,146.0,149.0,132.0,141.0,-3.4
30,6416,瑞祺電通,全部,1.5,3.2,93.2,110.0,90.1,103.5,11.1
31,5210,寶碩,資訊服務類,1.4,3.1,31.4,31.4,28.8,28.8,-8.3
32,6684,安格,半導體類,1.1,3.1,49.65,52.7,47.05,49.25,-0.8
33,8155,博智,電子零組件類,1.5,3.1,317.0,338.0,274.5,308.0,-2.8
34,8383,千附,其他電子類,1.7,3.1,87.1,93.8,78.4,90.4,3.8
35,5498,凱崴,電子零組件類,1.0,3.0,52.0,52.0,44.2,45.75,-12.0
36,2405,輔信,全部,0.7,2.9,16.95,17.25,15.8,16.4,-3.2
37,2377,微星,全部,1.9,2.9,142.0,158.0,131.5,146.5,3.2
38,6751,智聯服務,資訊服務類,1.8,2.9,41.9,41.9,39.8,40.35,-3.7
39,6418,詠昇,電子零組件類,1.6,2.8,31.8,31.8,28.2,30.65,-3.6
40,3081,聯亞,通信網路類,1.3,2.8,1515.0,2010.0,1335.0,1760.0,16.2
41,2375,凱美,全部,0.8,2.7,156.5,159.0,131.0,131.0,-16.3
42,5475,德宏,電子零組件類,1.1,2.7,168.0,173.0,135.0,135.0,-19.6
43,3535,晶彩科,光電業,0.7,2.7,93.7,94.4,84.0,87.1,-7.0
44,6136,富爾特,全部,1.2,2.7,24.0,24.7,24.0,24.4,1.7
45,3022,威強電,全部,1.6,2.6,83.0,95.0,77.2,94.0,13.3
46,6141,柏承,全部,1.4,2.6,42.0,46.2,37.05,38.65,-8.0
47,6515,穎崴,全部,1.3,2.6,6600.0,7180.0,5720.0,6295.0,-4.6
48,2355,敬鵬,全部,1.0,2.5,45.0,45.45,40.25,41.0,-8.9
49,4973,廣穎,半導體類,0.6,2.5,144.0,153.5,129.5,143.5,-0.3
50,2483,百容,全部,1.6,2.5,45.35,47.25,39.0,40.15,-11.5
