排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,4966,譜瑞-KY,半導體類,11.7,33.9,610.0,835.0,605.0,800.0,31.1
2,4931,新盛力,電腦及週邊類,6.9,28.4,165.0,216.0,159.5,183.5,11.2
3,3450,聯鈞,全部,7.7,18.6,376.0,470.5,375.0,395.5,5.2
4,3624,光頡,電子零組件類,8.7,17.4,57.8,80.5,57.1,76.2,31.8
5,3048,益登,全部,7.5,15.9,42.45,56.1,41.05,56.1,32.2
6,3498,陽程,其他電子類,7.0,15.6,95.9,149.0,90.0,149.0,55.4
7,2481,強茂,全部,8.0,13.9,103.0,133.0,98.5,117.5,14.1
8,3006,晶豪科,全部,7.2,13.4,196.5,261.0,194.5,251.0,27.7
9,2485,兆赫,全部,2.7,13.1,67.7,73.9,66.0,68.3,0.9
10,8114,振樺電,全部,5.9,13.1,188.0,259.5,188.0,216.0,14.9
11,6485,點序,半導體類,3.3,13.0,85.2,98.2,80.3,98.2,15.3
12,8028,昇陽半導體,全部,5.8,12.6,230.5,287.5,225.0,287.5,24.7
13,6207,雷科,電子零組件類,2.2,12.3,68.1,77.2,62.7,77.2,13.4
14,3490,單井,光電業類,2.0,10.7,31.1,39.2,30.1,36.9,18.6
15,6237,驊訊,半導體類,2.0,10.4,43.65,52.0,42.7,45.7,4.7
16,2363,矽統,全部,3.4,10.1,58.0,66.5,57.1,60.5,4.3
17,3707,漢磊,半導體類,4.6,9.6,73.3,87.5,68.7,80.4,9.7
18,5351,鈺創,半導體類,3.1,9.6,78.0,94.0,73.5,87.5,12.2
19,2492,華新科,全部,5.4,8.5,159.5,222.5,151.5,206.0,29.2
20,3305,昇貿,全部,3.7,8.3,118.5,138.5,110.5,138.5,16.9
21,2367,燿華,全部,2.4,8.3,61.4,66.9,60.0,61.8,0.7
22,8261,富鼎,全部,3.7,8.2,126.5,145.0,120.5,134.5,6.3
23,6265,方土昶,電子通路類,3.7,8.1,43.3,47.75,41.25,45.0,3.9
24,6509,聚和,化學工業,2.2,7.1,40.95,48.9,40.85,45.85,12.0
25,8390,金益鼎,其他,3.4,7.1,94.8,122.0,92.9,119.5,26.1
26,3481,群創,光電業,2.9,6.9,29.85,38.65,28.65,36.1,20.9
27,2438,翔耀,光電業,3.8,6.9,23.4,23.4,20.55,20.65,-11.8
28,6206,飛捷,全部,3.4,6.9,121.0,142.5,117.5,130.0,7.4
29,4906,正文,全部,1.7,6.3,41.5,42.55,37.9,39.15,-5.7
30,6173,信昌電,電子零組件類,4.1,6.3,122.0,175.0,115.5,155.0,27.0
31,3033,威健,全部,2.5,6.3,42.4,48.5,41.95,47.9,13.0
32,3413,京鼎,全部,2.6,6.2,308.0,337.5,296.0,325.5,5.7
33,2344,華邦電,全部,3.8,5.8,111.0,136.5,103.5,129.5,16.7
34,6462,神盾,半導體類,1.8,5.6,127.0,140.0,122.0,134.0,5.5
35,1582,信錦,全部,1.8,5.6,88.5,107.0,86.7,99.4,12.3
36,3019,亞光,光電業,2.0,5.6,143.0,154.5,139.5,144.5,1.0
37,5348,正能量智能,通信網路類,2.9,5.5,14.7,15.95,14.65,15.3,4.1
38,1708,東鹼,全部,2.5,5.3,38.1,42.35,37.15,39.65,4.1
39,3357,臺慶科,電子零組件類,3.0,5.0,185.0,249.5,177.0,220.0,18.9
40,4749,新應材,半導體類,1.9,5.0,985.0,1210.0,971.0,1015.0,3.0
41,5439,高技,電子零組件類,2.6,5.0,405.0,439.0,373.0,391.0,-3.5
42,6870,騰雲,數位雲端類,3.3,4.9,184.5,194.5,178.5,188.0,1.9
43,8016,矽創,全部,2.1,4.8,271.0,294.5,262.0,274.0,1.1
44,3227,原相,半導體類,1.7,4.7,217.0,234.5,215.5,220.0,1.4
45,5464,霖宏,電子零組件類,3.1,4.7,52.4,68.7,50.4,57.1,9.0
46,8069,元太,光電業類,3.5,4.7,153.0,231.0,149.5,210.0,37.3
47,6727,亞泰金屬,電子零組件類,1.6,4.6,494.0,569.0,451.5,557.0,12.8
48,5310,天剛,資訊服務類,2.5,4.6,25.7,27.15,0.0,23.8,-7.4
49,2727,王品,全部,1.5,4.6,234.0,238.5,231.0,236.5,1.1
50,6449,鈺邦,全部,3.3,4.6,179.0,263.0,176.5,263.0,46.9
