排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,3094,聯傑,全部,3.5,21.9,39.6,43.4,38.2,40.35,1.9
2,4931,新盛力,電腦及週邊類,5.8,19.2,233.0,275.0,233.0,255.0,9.4
3,6727,亞泰金屬,電子零組件類,3.3,14.3,404.5,554.0,401.5,517.0,27.8
4,4989,榮科,全部,3.7,12.3,99.6,117.5,91.8,91.8,-7.8
5,5351,鈺創,半導體類,3.5,11.2,83.1,98.2,81.6,98.2,18.2
6,6226,光鼎,光電業,2.7,9.2,28.95,28.95,22.4,26.6,-8.1
7,3580,友威科,其他電子類,1.0,9.1,94.8,104.5,91.0,95.8,1.1
8,3663,鑫科,其他電子類,4.8,8.0,79.9,92.4,77.8,78.5,-1.8
9,2243,宏旭-KY,全部,4.9,7.6,62.7,67.8,49.0,51.0,-18.7
10,3615,安可,光電業類,2.0,7.2,51.2,53.2,46.5,49.15,-4.0
11,8033,雷虎,全部,2.7,6.9,188.0,239.0,188.0,227.0,20.7
12,5425,台半,半導體類,2.5,5.9,131.0,144.0,125.5,130.5,-0.4
13,6491,晶碩,全部,3.4,5.6,347.0,390.0,346.5,375.0,8.1
14,1609,大亞,全部,1.7,5.5,38.1,44.25,37.85,39.1,2.6
15,8016,矽創,全部,2.2,5.0,320.5,376.5,320.0,363.0,13.3
16,6259,百徽,電子零組件類,2.1,4.9,38.55,43.3,37.25,38.45,-0.3
17,3374,精材,半導體類,2.9,4.8,306.0,356.5,292.5,356.5,16.5
18,3022,威強電,全部,2.7,4.4,87.0,95.7,86.1,89.0,2.3
19,2332,友訊,全部,1.9,4.4,18.1,24.05,17.9,24.05,32.9
20,3661,世芯-KY,全部,1.6,4.3,4880.0,4890.0,3965.0,4210.0,-13.7
21,8222,寶一,全部,1.6,4.2,40.2,46.55,39.95,40.0,-0.5
22,4534,慶騰,電機機械,1.7,4.2,33.45,37.7,32.0,33.6,0.4
23,4961,天鈺,全部,1.8,4.2,165.0,183.0,165.0,176.0,6.7
24,5285,界霖,全部,2.5,4.2,98.1,108.5,95.2,96.0,-2.1
25,6525,捷敏-KY,全部,2.8,4.2,163.5,221.0,162.0,199.5,22.0
26,6122,擎邦,電機機械,1.2,4.1,52.0,52.5,49.85,51.8,-0.4
27,3047,訊舟,全部,0.8,4.0,15.75,17.5,15.6,16.65,5.7
28,3379,彬台,電機機械,1.1,4.0,38.8,38.8,33.1,34.05,-12.2
29,8038,長園科,電子零組件類,0.7,3.5,40.0,46.9,39.75,44.4,11.0
30,3176,基亞,生技醫療類,1.2,3.5,34.2,39.25,34.05,38.2,11.7
31,9933,中鼎,全部,2.1,3.5,40.65,42.25,40.2,41.1,1.1
32,6405,悅城,光電業,1.7,3.4,59.3,64.6,53.2,55.7,-6.1
33,4923,力士,半導體類,1.1,3.2,61.5,70.5,58.2,63.3,2.9
34,6712,長聖,生技醫療類,1.3,3.1,155.5,184.0,154.5,175.5,12.9
35,1477,聚陽,全部,1.9,3.1,222.0,234.0,219.5,222.5,0.2
36,6799,來頡,全部,1.0,3.1,101.5,112.5,97.6,98.6,-2.9
37,3213,茂訊,電腦及週邊類,0.9,3.0,134.0,147.0,130.0,133.0,-0.7
38,5230,雷笛克光學,光電業類,0.7,2.9,21.3,22.0,19.3,20.55,-3.5
39,6477,安集,光電業,1.2,2.8,34.15,41.4,34.1,39.85,16.7
40,1717,長興,全部,1.8,2.8,73.1,88.6,73.1,73.8,1.0
41,3260,威剛,半導體類,0.8,2.8,404.0,420.0,397.0,410.0,1.5
42,6244,茂迪,光電業類,0.9,2.8,26.9,28.0,26.0,27.0,0.4
43,3046,建碁,全部,1.4,2.7,51.4,58.4,51.3,55.6,8.2
44,3167,大量,全部,1.6,2.7,802.0,964.0,775.0,775.0,-3.4
45,3149,正達,光電業,0.6,2.6,90.0,92.7,83.8,89.5,-0.6
46,3605,宏致,全部,1.4,2.6,90.1,96.5,84.3,91.2,1.2
47,4968,立積,全部,0.5,2.5,116.5,123.5,111.0,111.5,-4.3
48,2103,台橡,全部,1.4,2.5,21.35,25.85,21.35,23.05,8.0
49,2485,兆赫,全部,0.5,2.5,52.3,55.0,49.0,49.9,-4.6
50,4167,松瑞藥,生技醫療類,1.0,2.5,20.15,22.3,20.15,20.95,4.0
