排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6176,瑞儀,光電業,53.8,116.5,,,,,
2,3490,單井,光電業類,11.9,75.8,37.85,53.9,37.2,53.9,42.4
3,3441,聯一光,光電業類,7.7,34.8,86.0,107.0,80.0,107.0,24.4
4,1815,富喬,電子零組件類,8.1,24.4,90.5,112.5,89.4,112.0,23.8
5,6492,生華科,生技醫療類,7.5,23.5,39.25,39.25,33.95,34.8,-11.3
6,3498,陽程,其他電子類,7.1,14.1,154.0,193.0,153.5,192.0,24.7
7,6226,光鼎,光電業,2.0,11.3,19.7,23.2,18.7,21.2,7.6
8,2426,鼎元,光電業,4.7,11.0,69.3,82.2,65.2,82.2,18.6
9,3455,由田,光電業類,3.2,10.6,227.5,271.5,222.0,235.5,3.5
10,6517,保勝光學,光電業類,2.0,10.2,63.8,70.4,63.1,65.7,3.0
11,3043,科風,全部,1.7,9.5,20.8,22.0,20.3,21.0,1.0
12,6214,精誠,全部,5.3,9.2,172.0,181.5,172.0,179.5,4.4
13,6672,騰輝電子-KY,全部,2.6,9.0,264.5,295.0,258.5,267.5,1.1
14,6727,亞泰金屬,電子零組件類,1.8,7.9,396.0,481.0,382.0,443.0,11.9
15,6207,雷科,電子零組件類,1.4,7.4,111.0,111.5,99.3,103.5,-6.8
16,2634,漢翔,全部,3.8,7.3,64.2,76.5,63.2,69.3,7.9
17,4931,新盛力,電腦及週邊類,2.7,7.2,265.0,280.0,250.0,280.0,5.7
18,1294,漢田生技,食品工業,3.7,6.6,57.6,58.0,55.1,56.0,-2.8
19,2609,陽明,全部,3.4,6.2,51.5,64.6,50.7,64.0,24.3
20,6706,惠特,光電業,1.6,6.0,121.0,124.0,111.0,116.5,-3.7
21,8105,凌巨,光電業,3.5,5.7,16.9,16.95,13.6,13.8,-18.3
22,6104,創惟,半導體類,1.0,5.5,94.5,95.7,89.3,95.3,0.8
23,2755,揚秦,觀光事業,3.4,5.4,103.5,104.5,101.0,102.5,-1.0
24,4977,眾達-KY,全部,1.0,5.0,150.0,160.0,143.5,150.5,0.3
25,6538,倉和,電子零組件類,2.1,4.6,181.5,208.0,175.0,196.5,8.3
26,3356,奇偶,光電業,1.6,4.5,64.9,67.3,62.4,63.2,-2.6
27,3587,閎康,其他電子類,1.4,4.5,251.0,255.0,235.5,244.0,-2.8
28,2364,倫飛,全部,2.5,4.4,82.0,89.8,80.0,80.8,-1.5
29,4971,IET-KY,半導體類,1.9,4.3,484.5,612.0,473.0,588.0,21.4
30,1727,中華化,全部,2.3,4.3,77.3,95.8,74.3,90.2,16.7
31,2603,長榮,全部,2.6,3.9,215.5,254.0,211.0,251.5,16.7
32,6243,迅杰,全部,0.8,3.8,44.5,48.1,41.8,42.05,-5.5
33,3339,泰谷,光電業類,1.0,3.8,38.25,40.75,36.95,38.15,-0.3
34,5608,四維航,全部,1.1,3.8,14.0,18.75,13.85,18.75,33.9
35,3535,晶彩科,光電業,1.0,3.7,92.9,93.8,86.2,86.8,-6.6
36,3625,西勝,電腦及週邊類,1.7,3.7,16.5,16.55,11.0,11.1,-32.7
37,3169,亞信,半導體類,1.3,3.6,101.5,105.0,99.0,101.5,0.0
38,8038,長園科,電子零組件類,0.7,3.4,31.35,31.6,30.1,30.8,-1.8
39,1784,訊聯,生技醫療類,0.9,3.2,62.5,62.5,59.3,61.4,-1.8
40,6716,應廣,半導體類,1.1,3.0,117.5,140.0,116.5,133.0,13.2
41,6270,倍微,電子通路類,1.2,2.9,30.7,30.7,29.65,29.85,-2.8
42,8103,瀚荃,全部,1.2,2.9,80.3,96.3,78.5,94.0,17.1
43,5498,凱崴,電子零組件類,1.0,2.9,53.7,54.8,48.2,50.4,-6.1
44,3138,耀登,全部,0.8,2.9,98.8,102.0,92.5,93.5,-5.4
45,6269,台郡,全部,0.9,2.9,64.8,67.6,62.2,62.4,-3.7
46,6108,競國,全部,1.5,2.8,21.7,26.6,20.95,25.95,19.6
47,6426,統新,全部,1.2,2.8,224.0,260.5,218.0,241.0,7.6
48,2486,一詮,光電業,1.1,2.8,233.5,255.0,222.0,243.5,4.3
49,3406,玉晶光,光電業,1.5,2.8,623.0,705.0,608.0,652.0,4.7
50,6224,聚鼎,全部,1.0,2.7,63.7,77.2,62.4,75.4,18.4
