CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
41236,晟德六,38.75,38.6,90.89,0.39,已發行CB
30954,及成四,39.3,39.5,100,-0.51,已發行CB
77131,威力德生醫一,69.1,69.6,100,-0.72,已發行CB
68211,聯寶一,42.6,42.19,41.5,0.97,已發行CB
81473,正淩三,128.0,129.4,99.6,-1.08,已發行CB
811211,至上11,89.0,90.1,100,-1.22,已發行CB
41237,晟德七,38.75,39.3,62.98,-1.4,已發行CB
62236,旺矽六,6300.0,6201.8,100,1.58,已發行CB
84113,福貞三KY,12.95,13.2,100,-1.89,已發行CB
33902,旭軟二,23.7,24.2,100,-2.07,已發行CB
61876,萬潤六,1175.0,1150.0,100,2.17,已發行CB
35161,亞帝歐一,26.4,25.81,100,2.29,已發行CB
53097,系統電七,53.2,54.6,99.08,-2.56,已發行CB
30454,台灣大四,110.5,113.5,99.71,-2.64,已發行CB
27271,王品一,224.0,218.2,99.99,2.66,已發行CB
55344,長虹四,77.8,80.0,100,-2.75,已發行CB
41684,醣聯四,23.25,23.91,100,-2.76,已發行CB
33035,岱稜五,54.1,55.7,100,-2.87,已發行CB
33247,雙鴻七,1060.0,1092.5,100,-2.97,已發行CB
24023,毅嘉三,54.9,53.3,100,3.0,已發行CB
12561,鮮活果汁一KY,177.0,182.5,99.15,-3.01,已發行CB
68401,東研信超一,66.8,64.7,98.9,3.25,已發行CB
66034,富強鑫四,25.75,26.63,100,-3.3,已發行CB
30455,台灣大五,110.5,106.9,100,3.37,已發行CB
33763,新日興三,188.5,195.2,99.21,-3.43,已發行CB
15142,亞力二,101.5,105.1,100,-3.43,已發行CB
61011,寬魚國際一,35.6,36.9,96.8,-3.52,已發行CB
66702,復盛應用二,263.5,254.5,100,3.54,已發行CB
80506,廣積六,63.1,60.9,47.36,3.61,已發行CB
35122,皇龍二,19.75,20.5,100,-3.66,近期上市
61777,達麗七,47.8,46.1,99.9,3.69,已發行CB
14722,三洋實業二,88.5,91.9,100,-3.7,已發行CB
81553,博智三,306.0,318.0,100,-3.77,已發行CB
52912,邑昇二,51.0,53.0,100,-3.77,近期上市
81553,博智三,306.0,318.0,100,-3.77,近期上市
52912,邑昇二,51.0,53.0,100,-3.77,已發行CB
45811,光隆精密一KY,51.3,53.4,100,-3.93,已發行CB
64251,易發一,55.5,57.9,15.55,-4.15,已發行CB
84423,威宏三KY,44.3,42.5,100,4.24,已發行CB
22283,劍麟三,77.4,80.91,92.90,-4.34,已發行CB
33246,雙鴻六,1060.0,1111.3,100,-4.62,已發行CB
36913,碩禾三,112.5,118.0,100,-4.66,已發行CB
52845,jpp五KY,303.5,318.5,100,-4.71,已發行CB
62822,康舒二,48.3,46.1,99.92,4.77,已發行CB
89365,國統五,52.3,55.0,100,-4.91,近期上市
