股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2409,友達,188929,109449,177238,2,-7,17,55,3
2618,長榮航,33990,110674,102976,3,-1902,-7753,2021,3
3045,台灣大,24916,8115,-5075,1,-18,5381,14552,4
2408,南亞科,15430,9381,6597,2,3250,2801,-2387,3
2353,宏碁,14906,36883,48227,5,-2882,-9155,-27389,0
2884,玉山金,11749,40255,70616,5,362,-2657,-9729,2
2324,仁寶,10471,18234,42540,5,27,-4616,-22088,2
8150,南茂,9364,965,13527,3,-1,695,1168,4
6202,盛群,8459,8507,7911,3,0,5,5,1
3006,晶豪科,8259,8207,5888,3,-4,-77,-900,0
5880,合庫金,7583,28814,40043,5,-69,49,136,2
6182,合晶,7079,-182,-1888,3,4216,3660,11257,4
2412,中華電,6975,-17877,-33457,1,-30,4267,11765,4
2887,台新金,6126,40715,92498,5,13124,16725,9615,2
2495,普安,5951,4552,7774,4,0,-1,-1,0
2801,彰銀,5773,12516,17125,4,-80,-119,-155,2
2317,鴻海,5743,-12882,-20766,2,-37,2868,6241,4
4904,遠傳,5580,-4079,-17284,1,-397,5907,15435,3
2377,微星,5298,12315,10732,2,15,2419,8232,5
3211,順達,5020,2174,1937,2,3026,3027,3485,4
1536,和大,4607,3571,5753,3,0,0,0,0
2615,萬海,4550,3741,13440,3,-13,149,438,4
8039,台虹,4099,1304,3089,3,0,0,-264,0
2356,英業達,3747,-8819,-17187,1,2054,12517,21312,5
2486,一詮,3680,2613,3159,2,0,0,0,0
2637,慧洋-KY,3612,8174,10821,5,795,487,476,2
2441,超豐,3252,1575,4531,4,27,539,986,5
3005,神基,2866,3426,8436,5,63,-308,-1064,2
6285,啟碁,2694,2066,1264,2,4,-107,-115,2
5388,中磊,2404,2477,3948,4,0,-95,-178,0
6214,精誠,2387,2919,3629,5,-4,-9,-5,1
5351,鈺創,2344,9365,14813,3,0,5,5,1
2357,華碩,2162,6722,9011,5,73,-652,-1909,2
4958,臻鼎-KY,2044,2300,358,3,94,-1483,-4328,1
2385,群光,1944,5076,8395,5,12,-514,-3351,2
2368,金像電,1926,2582,1182,3,-2377,-3027,-1791,2
2645,長榮航太,1294,1954,1346,3,-3,3,1,1
6239,力成,1189,379,10718,4,21,-1751,-5902,2
2912,統一超,1085,1183,3632,5,10,87,216,5
2395,研華,1009,1122,1504,4,-4,57,120,3
3374,精材,992,7016,9095,4,0,-253,-1150,1
2428,興勤,802,-1036,-873,2,-1,499,1699,2
2360,致茂,782,2021,2018,3,-509,-1375,-1687,0
8299,群聯,751,-731,-413,3,1,-62,-339,2
2379,瑞昱,629,273,-2706,2,10,898,2672,5
3260,威剛,608,154,801,2,-14,804,1419,4
6187,萬潤,592,576,1471,4,430,256,248,3
6196,帆宣,540,713,536,3,-553,-526,-512,4
6805,富世達,535,2024,1773,4,-553,-1758,-1994,1
2404,漢唐,481,575,557,4,-564,-1223,-1970,0
5289,宜鼎,334,515,177,3,-485,-1001,-1524,1
3661,世芯-KY,140,-263,-1232,1,27,56,103,4
3653,健策,113,277,157,4,-84,-115,-293,1
6223,旺矽,113,-70,-237,2,93,239,303,5
5274,信驊,54,-37,-12,2,-102,-150,-229,1
