排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,2484,,,11.3,37.9,69.2,96.4,68.3,96.4,39.3
2,8033,,,10.3,36.0,139.0,204.5,136.5,204.5,47.1
3,4989,,,7.1,30.9,92.0,110.5,78.1,110.5,20.1
4,2375,,,6.8,24.4,207.5,237.0,188.0,216.0,4.1
5,3289,宜特,其他電子類,5.9,22.2,163.5,191.0,155.0,180.0,10.1
6,3221,台嘉碩,通信網路類,5.4,21.3,55.4,69.5,55.1,66.3,19.7
7,3605,,,7.6,16.2,77.1,92.0,73.7,88.2,14.4
8,3413,,,6.5,15.3,309.0,345.0,299.0,326.5,5.7
9,2464,,,6.0,15.0,167.0,206.5,154.5,172.5,3.3
10,6538,倉和,電子零組件類,4.6,14.9,129.5,150.5,117.0,135.5,4.6
11,3317,尼克森,半導體類,3.3,11.4,91.8,102.0,85.7,96.2,4.8
12,5392,能率,光電業類,3.6,10.6,47.6,49.9,44.1,48.55,2.0
13,6517,保勝光學,光電業類,1.8,10.0,73.1,77.7,66.2,71.3,-2.5
14,3689,湧德,電子零組件類,2.8,10.0,118.0,127.0,112.0,124.0,5.1
15,6182,合晶,半導體類,3.9,9.3,126.0,163.0,109.5,163.0,29.4
16,6191,,,4.7,8.5,98.6,113.5,98.1,108.0,9.5
17,2365,,,1.8,7.9,32.9,36.0,31.55,35.05,6.5
18,3042,,,4.4,7.9,187.5,249.0,180.5,249.0,32.8
19,6133,,,3.7,7.8,22.75,28.2,21.5,25.8,13.4
20,4440,,,4.3,7.6,17.15,17.8,17.0,17.55,2.3
21,6530,創威,通信網路類,1.4,7.5,88.5,90.4,82.3,87.8,-0.8
22,3227,原相,半導體類,2.9,7.1,227.5,250.0,212.0,235.0,3.3
23,4533,協易機,電機機械,1.9,6.5,28.55,32.4,27.15,30.85,8.1
24,3213,茂訊,電腦及週邊類,1.8,6.4,125.0,143.0,114.0,142.5,14.0
25,3402,漢科,其他電子類,1.8,6.1,148.5,157.0,140.5,155.0,4.4
26,8227,巨有科技,半導體類,1.6,5.7,180.0,229.5,174.5,208.0,15.6
27,6753,,,3.3,5.7,124.5,154.0,121.0,154.0,23.7
28,1314,,,1.8,5.7,8.1,9.88,7.95,9.88,22.0
29,6426,,,2.4,5.7,210.0,211.0,177.5,201.0,-4.3
30,3055,,,3.7,5.6,99.0,154.0,93.6,152.5,54.0
31,3520,華盈,電子零組件類,2.0,5.6,16.0,19.7,15.3,18.4,15.0
32,2406,,,1.9,5.4,35.0,45.95,33.7,41.15,17.6
33,6271,,,2.9,5.3,266.0,293.5,241.5,279.0,4.9
34,5443,均豪,光電業類,2.0,5.2,104.0,127.0,99.2,121.0,16.3
35,5425,台半,半導體類,2.1,5.2,122.5,133.5,108.0,131.0,6.9
36,2359,,,2.3,5.1,132.5,149.5,126.5,142.0,7.2
37,6215,,,1.6,5.0,104.0,118.5,99.0,112.5,8.2
38,3484,崧騰,電子零組件類,1.4,4.9,52.0,53.8,50.3,53.0,1.9
39,6532,瑞耘,半導體類,1.6,4.8,91.2,94.4,86.3,92.1,1.0
40,6409,,,3.0,4.8,1005.0,1300.0,977.0,1255.0,24.9
41,3363,上詮,通信網路類,2.0,4.8,618.0,622.0,505.0,581.0,-6.0
42,6129,普誠,半導體類,0.8,4.7,20.0,20.1,18.0,19.15,-4.3
43,6788,華景電,半導體類,1.1,4.6,437.0,462.0,421.0,445.0,1.8
44,8150,,,3.0,4.3,96.4,112.5,90.4,105.0,8.9
45,3360,尚立,電子通路類,1.1,4.2,20.0,23.85,19.1,20.4,2.0
46,5285,,,2.4,4.2,101.5,105.0,91.5,96.9,-4.5
47,2302,,,2.6,4.2,47.45,58.1,45.7,52.0,9.6
48,5269,,,2.3,4.1,1420.0,1585.0,1365.0,1530.0,7.7
49,7402,邑錡,光電業類,1.6,4.1,99.8,138.5,97.2,138.5,38.8
50,6438,,,1.3,4.1,151.0,172.0,145.5,165.0,9.3
