CB代號,CB名稱,個股現價,轉換價格,餘額比例(%),距轉換價差距(%),已發行/近期上市
64251,易發一,58.0,57.9,15.55,0.17,已發行CB
35161,亞帝歐一,25.75,25.81,100,-0.23,已發行CB
31494,正達四,68.3,68.1,100,0.29,近期上市
81473,正淩三,130.0,129.4,99.6,0.46,已發行CB
33763,新日興三,192.0,191.1,99.21,0.47,已發行CB
82102,勤誠二,1005.0,997.3,100,0.77,已發行CB
30166,嘉晶六,104.0,105.0,100,-0.95,近期上市
30166,嘉晶六,104.0,105.0,100,-0.95,已發行CB
61993,天品三,103.5,104.6,100,-1.05,已發行CB
81553,博智三,321.5,318.0,100,1.1,近期上市
81553,博智三,321.5,318.0,100,1.1,已發行CB
84113,福貞三KY,13.05,13.2,100,-1.14,已發行CB
66241,萬年清一,40.1,40.6,31,-1.23,已發行CB
36913,碩禾三,119.5,118.0,100,1.27,已發行CB
66292,泰金二KY,114.0,115.5,97.43,-1.3,已發行CB
68211,聯寶一,42.75,42.19,41.5,1.33,已發行CB
12561,鮮活果汁一KY,180.0,182.5,99.15,-1.37,已發行CB
61876,萬潤六,1155.0,1136.8,100,1.6,已發行CB
77131,威力德生醫一,70.8,69.6,100,1.72,已發行CB
55344,長虹四,78.3,80.0,100,-2.13,已發行CB
62822,康舒二,47.15,46.1,99.92,2.28,已發行CB
30455,台灣大五,109.5,106.9,100,2.43,已發行CB
53097,系統電七,56.0,54.6,99.08,2.56,已發行CB
14722,三洋實業二,89.5,91.9,100,-2.61,已發行CB
65702,維田二,57.3,55.73,100,2.82,已發行CB
65702,維田二,57.3,55.73,100,2.82,近期上市
15142,亞力二,102.0,105.1,100,-2.95,已發行CB
61794,亞通四,27.35,28.2,99.2,-3.01,已發行CB
82103,勤誠三,1005.0,975.6,100,3.01,已發行CB
84762,台境二,20.15,19.5,90.08,3.33,已發行CB
89366,國統六,52.0,53.8,100,-3.35,近期上市
80506,廣積六,58.8,60.9,47.36,-3.45,已發行CB
61777,達麗七,47.7,46.1,99.9,3.47,已發行CB
30454,台灣大四,109.5,113.5,99.71,-3.52,已發行CB
84423,威宏三KY,44.0,42.5,100,3.53,已發行CB
35122,皇龍二,19.75,20.5,100,-3.66,已發行CB
35122,皇龍二,19.75,20.5,100,-3.66,近期上市
66702,復盛應用二,264.0,254.5,100,3.73,已發行CB
30954,及成四,38.0,39.5,100,-3.8,已發行CB
17172,長興二,78.6,75.7,100,3.83,已發行CB
33247,雙鴻七,1050.0,1092.5,100,-3.89,已發行CB
66034,富強鑫四,27.7,26.63,100,4.02,已發行CB
33035,岱稜五,53.4,55.7,100,-4.13,已發行CB
61011,寬魚國際一,35.3,36.9,96.8,-4.34,已發行CB
44391,冠星一KY,100.5,96.3,98.36,4.36,已發行CB
41904,佐登四KY,24.95,26.1,100,-4.41,已發行CB
41684,醣聯四,22.85,23.91,100,-4.43,已發行CB
81552,博智二,321.5,338.0,100,-4.88,已發行CB
81552,博智二,321.5,338.0,100,-4.88,近期上市
