股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
3481,群創,121849,74394,-42476,3,-281,-1707,230,2
2409,友達,36617,19389,17201,3,103,301,688,5
1314,中石化,24495,6010,1313,2,0,0,0,0
6505,台塑化,17622,290,-13573,1,108,398,-4350,3
2485,兆赫,14792,-4324,21777,3,0,0,0,0
2002,中鋼,12528,-27455,-42241,2,30,-787,-541,4
6770,力積電,9338,-3890,-62548,2,467,-1521,-2956,3
2892,第一金,9098,-4474,5832,4,263,1514,2321,5
1312,國喬,7243,4543,2104,2,0,0,0,0
2883,凱基金,6993,-26861,-30638,2,2017,5087,11595,5
2324,仁寶,6503,-8205,-27657,2,-83,7,496,4
2543,皇昌,6281,4705,5856,2,0,0,0,0
1718,中纖,5876,3644,3215,3,0,0,0,0
3049,精金,5806,4621,7015,3,0,0,0,0
6116,彩晶,5730,2816,-2636,3,0,0,0,0
2344,華邦電,5513,30934,1705,3,-1859,-7895,-5719,2
2395,研華,5383,7694,7943,4,35,116,225,5
1402,遠東新,5291,-7604,-15563,2,-63,-406,-14904,0
1304,台聚,5246,2682,984,2,0,0,0,0
1101,台泥,5221,-21952,-18982,2,12,203,384,4
3715,定穎投控,4531,1937,5647,3,-12,-12,-45,0
3231,緯創,4106,-8520,-3271,3,-187,318,1073,4
2412,中華電,3782,9981,31183,5,126,540,2741,5
6274,台燿,3549,3611,7494,4,-5245,-8171,-12072,0
4989,榮科,3190,-1583,2813,3,0,0,0,0
1582,信錦,2911,1077,465,2,0,0,-2,0
2603,長榮,1925,7726,21979,5,189,3975,3711,3
6285,啟碁,1873,8734,643,3,-689,-1722,-833,2
2451,創見,1761,2764,952,4,-15,158,1600,2
2376,技嘉,1477,3555,2291,3,-138,-132,-137,2
3006,晶豪科,1421,706,5643,3,-13,-57,57,2
2727,王品,938,1015,1238,4,133,126,121,1
3293,鈊象,937,-221,1176,3,159,137,-327,1
4749,新應材,896,2401,3021,5,109,264,250,3
8358,金居,889,-5459,-8846,2,0,-5217,-4826,2
8046,南電,857,1963,3203,5,-36,563,595,3
3450,聯鈞,783,-4920,-4021,2,0,24,823,2
2357,華碩,520,-653,-2627,2,31,500,604,5
3131,弘塑,474,786,773,4,5,6,6,2
6442,光聖,409,216,-387,3,-23,-74,773,3
8210,勤誠,308,318,1031,4,14,213,87,4
6223,旺矽,131,265,247,4,173,280,441,5
3653,健策,99,545,543,3,-22,-33,37,3
5274,信驊,45,191,181,2,2,-4,-58,1
6515,穎崴,40,64,-40,3,148,139,45,1
