排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,4989,榮科,全部,13.9,60.7,69.4,70.3,50.1,55.6,-19.9
2,3580,友威科,其他電子類,2.5,23.1,80.8,81.2,65.4,71.0,-12.1
3,1459,聯發,全部,14.2,16.6,,,,,
4,2314,台揚,全部,1.6,16.3,12.7,12.7,10.8,11.45,-9.8
5,6207,雷科,電子零組件類,2.6,15.3,118.0,119.0,84.9,94.7,-19.7
6,6588,東典光電,通信網路類,2.5,10.3,72.7,100.0,71.6,89.1,22.6
7,5227,立凱-KY,電子零組件類,2.6,9.8,40.0,42.6,34.75,36.8,-8.0
8,3490,單井,光電業類,1.3,8.2,27.4,28.0,25.15,27.7,1.1
9,6530,創威,通信網路類,1.4,8.1,71.6,77.6,61.0,67.6,-5.6
10,5321,美而快,數位雲端類,4.5,7.8,55.3,63.0,51.1,53.3,-3.6
11,3141,晶宏,半導體類,1.1,6.9,64.9,68.3,56.8,65.8,1.4
12,2070,精湛,電機機械,3.4,5.9,53.0,53.3,43.45,46.6,-12.1
13,5230,雷笛克光學,光電業類,1.4,5.8,18.25,18.55,16.25,17.35,-4.9
14,8112,至上,全部,2.1,5.6,87.1,91.7,73.5,80.3,-7.8
15,2727,王品,全部,2.0,5.5,220.0,242.0,218.5,234.5,6.6
16,3537,堡達,電子零組件類,1.6,5.5,56.0,56.5,43.55,48.9,-12.7
17,6127,九豪,電子零組件類,1.2,5.4,55.4,55.5,41.1,45.95,-17.1
18,4939,亞電,電子零組件類,1.9,5.4,71.0,72.8,45.9,50.8,-28.5
19,2485,兆赫,全部,1.2,5.4,41.0,42.25,32.3,35.75,-12.8
20,6443,元晶,光電業,0.9,5.3,28.4,29.5,22.15,23.75,-16.4
21,3491,昇達科,通信網路類,1.8,5.2,1295.0,1295.0,909.0,969.0,-25.2
22,3268,海德威,半導體類,1.7,5.2,19.5,22.0,19.0,21.7,11.3
23,3441,聯一光,光電業類,1.4,5.2,66.8,90.5,62.2,84.0,25.7
24,3615,安可,光電業類,1.5,5.1,38.7,39.1,30.2,33.0,-14.7
25,4741,泓瀚,化學工業,2.3,5.0,47.5,48.1,35.75,41.95,-11.7
26,3317,尼克森,半導體類,1.5,5.0,78.0,79.8,58.9,63.7,-18.3
27,3289,宜特,其他電子類,1.3,4.9,145.0,152.5,126.5,140.5,-3.1
28,5475,德宏,電子零組件類,1.9,4.5,147.5,148.0,100.0,111.0,-24.7
29,8024,佑華,半導體類,1.3,4.5,15.75,15.75,13.1,14.0,-11.1
30,4716,大立,化學工業,1.6,4.4,18.1,18.45,15.5,16.5,-8.8
31,5274,信驊,半導體類,1.4,4.3,15120.0,15300.0,12210.0,14525.0,-3.9
32,6821,聯寶,電子零組件類,2.0,4.1,44.05,44.05,37.0,39.1,-11.2
33,4760,勤凱,其他電子類,1.5,4.1,248.5,249.0,195.0,213.0,-14.3
34,6870,騰雲,數位雲端類,2.8,3.9,272.0,273.5,219.0,246.5,-9.4
35,6642,富致,電子零組件類,2.2,3.9,74.4,77.3,65.2,73.7,-0.9
36,3373,熱映,其他電子類,1.0,3.8,17.75,18.3,15.9,16.1,-9.3
37,2375,凱美,全部,1.1,3.7,140.0,141.0,103.5,116.5,-16.8
38,4956,光鋐,光電業,1.3,3.5,30.3,30.85,23.5,26.0,-14.2
39,2636,台驊控股,全部,1.4,3.5,65.5,66.6,64.2,66.3,1.2
40,4566,時碩工業,全部,1.8,3.4,69.7,76.3,62.8,66.4,-4.7
41,6425,易發,電機機械,1.4,3.3,59.8,60.0,48.5,50.7,-15.2
42,3131,弘塑,其他電子類,1.6,3.3,3045.0,3225.0,2055.0,2370.0,-22.2
43,1597,直得,全部,1.7,3.3,132.0,132.5,102.0,114.0,-13.6
44,6805,富世達,全部,1.8,3.0,1420.0,1475.0,1205.0,1350.0,-4.9
45,6603,富強鑫,電機機械,1.5,2.9,24.0,26.7,23.7,26.15,9.0
46,2399,映泰,全部,0.9,2.8,38.8,39.45,30.0,33.1,-14.7
47,8091,翔名,半導體類,1.3,2.8,245.5,252.0,189.0,210.5,-14.3
48,4973,廣穎,半導體類,0.7,2.8,140.0,150.0,116.5,129.0,-7.9
49,6190,萬泰科,通信網路類,1.0,2.8,71.8,72.5,56.2,61.8,-13.9
50,6231,系微,資訊服務類,0.9,2.8,230.0,231.0,190.0,207.5,-9.8
