排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6127,九豪,電子零組件類,11.7,40.8,54.7,67.3,49.2,67.3,23.0
2,3580,友威科,其他電子類,3.8,34.5,100.5,114.5,99.2,104.0,3.5
3,2484,希華,全部,7.6,32.2,45.4,58.0,45.3,54.3,19.6
4,6770,力積電,全部,11.7,29.3,60.3,88.7,60.2,88.7,47.1
5,3689,湧德,電子零組件類,6.2,26.8,122.5,139.5,121.5,138.0,12.7
6,2369,菱生,全部,8.2,25.9,30.5,42.0,30.3,40.3,32.1
7,4927,泰鼎-KY,全部,6.0,21.7,51.5,65.9,51.4,56.2,9.1
8,3211,順達,電腦及週邊類,10.0,20.5,356.5,492.5,356.0,436.0,22.3
9,6182,合晶,半導體類,6.2,19.3,65.5,99.7,65.4,99.5,51.9
10,4906,正文,全部,5.3,17.8,39.5,51.5,39.05,49.7,25.8
11,3221,台嘉碩,通信網路類,5.0,17.5,53.0,63.6,53.0,60.0,13.2
12,4939,亞電,電子零組件類,4.1,16.5,38.55,50.5,38.55,50.5,31.0
13,2436,偉詮電,全部,3.8,16.1,76.2,82.5,75.6,77.2,1.3
14,2399,映泰,全部,4.3,14.9,44.2,51.2,43.85,47.9,8.4
15,6706,惠特,光電業,5.2,14.4,174.0,222.0,173.0,205.5,18.1
16,6265,方土昶,電子通路類,6.0,13.2,45.35,58.1,45.35,55.2,21.7
17,6284,佳邦,電子零組件類,7.0,12.9,96.1,131.0,95.5,119.5,24.3
18,5425,台半,半導體類,5.8,12.5,89.5,125.5,87.1,116.5,30.2
19,3537,堡達,電子零組件類,4.1,12.1,69.8,77.8,65.4,77.0,10.3
20,3060,銘異,全部,2.0,11.6,27.75,30.5,27.75,29.4,5.9
21,3556,禾瑞亞,半導體類,1.8,11.4,54.6,67.2,52.9,67.2,23.1
22,6716,應廣,半導體類,3.9,11.3,100.5,129.0,99.9,107.0,6.5
23,4741,泓瀚,化學工業,5.1,11.0,60.3,66.6,59.4,60.0,-0.5
24,3149,正達,光電業,3.0,10.8,58.0,72.2,57.9,71.2,22.8
25,2337,旺宏,全部,4.5,10.6,144.0,175.0,140.5,166.5,15.6
26,6141,柏承,全部,5.2,10.4,33.8,47.45,31.6,46.0,36.1
27,6226,光鼎,光電業,2.2,10.0,12.4,14.3,12.15,13.0,4.8
28,2493,揚博,全部,4.4,9.4,137.5,173.5,136.0,160.0,16.4
29,3317,尼克森,半導體類,2.6,9.3,75.5,87.7,75.5,83.8,11.0
30,6546,正基,通信網路類,3.8,9.3,74.9,84.9,74.9,84.5,12.8
31,8028,昇陽半導體,全部,4.6,8.9,280.5,365.0,280.5,327.0,16.6
32,3388,崇越電,電子零組件類,3.6,8.9,100.5,116.0,99.0,110.0,9.5
33,2241,艾姆勒,全部,3.5,8.6,38.5,39.95,34.45,34.55,-10.3
34,3551,世禾,其他電子類,4.2,8.6,199.5,234.5,198.5,225.0,12.8
35,4973,廣穎,半導體類,2.7,8.1,109.5,165.0,108.5,160.0,46.1
36,3339,泰谷,光電業類,2.2,7.9,47.7,53.4,44.4,44.65,-6.4
37,3062,建漢,全部,2.0,7.8,28.7,31.65,28.45,30.7,7.0
38,8104,錸寶,光電業,3.0,7.8,34.35,43.5,34.35,41.15,19.8
39,3131,弘塑,其他電子類,3.5,7.7,2750.0,3865.0,2735.0,3450.0,25.5
40,4968,立積,全部,1.2,7.6,117.0,123.0,115.0,116.0,-0.9
41,6155,鈞寶,全部,4.5,7.4,59.2,70.8,56.8,62.8,6.1
42,2375,凱美,全部,2.6,7.4,131.5,176.5,125.5,166.5,26.6
43,3323,加百裕,電腦及週邊類,1.6,7.3,35.5,39.5,35.5,37.9,6.8
44,8096,擎亞,電子通路類,3.6,7.2,110.5,129.0,110.0,122.5,10.9
45,2472,立隆電,全部,4.1,7.1,265.0,404.0,258.0,371.0,40.0
46,6175,立敦,電子零組件類,4.4,7.0,85.0,115.5,84.3,103.0,21.2
47,6290,良維,電子零組件類,3.1,6.6,277.0,361.0,273.5,347.0,25.3
48,6282,康舒,全部,3.1,6.5,54.6,65.1,54.4,59.9,9.7
49,2495,普安,全部,3.4,6.5,41.4,52.0,40.55,51.5,24.4
50,6104,創惟,半導體類,1.1,6.4,102.0,104.5,96.8,99.0,-2.9
