股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
3231,緯創,91902,133435,138822,5,17001,18929,21650,5
2303,聯電,63633,55842,77431,4,-115062,-181777,-235272,0
2353,宏碁,51535,65794,87005,5,-5226,-8273,-9888,0
2409,友達,47814,3801,-85360,2,2,110,191,4
2337,旺宏,27576,50133,86076,4,3292,6403,6096,3
2317,鴻海,25502,99266,131748,4,2068,11299,11563,5
2890,永豐金,23190,57463,53804,3,1085,1414,1738,5
2609,陽明,19358,47089,64854,5,-30584,-36928,-38411,1
1326,台化,19072,57641,56419,4,-137,-555,-555,0
2408,南亞科,18321,64821,132735,5,5366,12339,13106,4
1402,遠東新,17882,70254,11076,4,-9986,-82564,-130034,0
1303,南亞,16575,89841,110501,4,2133,5130,6794,5
1605,華新,16225,15499,19759,3,462,1800,-3961,4
2324,仁寶,15081,93122,132684,5,-17296,-41302,-59085,0
6116,彩晶,13971,14482,255,3,0,0,0,0
2344,華邦電,12925,59740,22780,3,12930,36135,51662,5
2885,元大金,12339,22515,39822,5,-14805,-28730,-45810,0
2834,臺企銀,10942,18572,20235,4,-31,-217,-908,0
1301,台塑,9706,13414,15132,3,-18,-24,-39,0
8112,至上,9652,14449,18424,5,2099,4383,4333,2
2882,國泰金,9164,52772,93592,5,-11502,-53426,-94470,0
2498,宏達電,8688,11702,14525,4,-6,-6,-14,0
3706,神達,8211,39878,30589,3,-16,67,1295,4
3702,大聯大,8176,7670,12943,4,-6231,-7015,-10014,0
5880,合庫金,8132,6812,-2140,2,592,913,1037,5
3264,欣銓,8036,-488,978,2,-11606,-17579,-17280,1
6147,頎邦,7948,-7143,-2751,2,-4577,-4078,1974,3
2027,大成鋼,7811,11262,23747,5,-5695,24,24,1
3036,文曄,7717,9592,11443,4,-8743,-11659,-14151,0
6770,力積電,7458,-155863,39049,3,44,451,973,5
5876,上海商銀,7226,-2125,-21304,1,4818,16116,23519,5
8070,長華*,6912,6254,10388,4,-5128,-5483,-6066,0
2354,鴻準,6764,10417,8937,3,0,7,6,2
2867,三商壽,6425,17892,13771,3,0,0,0,0
3260,威剛,6062,7484,5927,3,22,163,362,3
5351,鈺創,5894,6910,12551,4,0,0,0,0
2881,富邦金,5760,39692,119555,5,3477,-31978,-86636,1
3149,正達,5688,430,2706,2,0,0,0,0
3234,光環,5623,5968,5616,4,0,0,0,0
6176,瑞儀,5034,9339,8077,4,-5884,-6915,-7595,0
6257,矽格,4132,-2846,-3367,2,-4260,-5265,-5443,0
2357,華碩,4002,11224,10484,4,735,1337,2663,4
3006,晶豪科,3999,1827,6546,2,32,162,162,3
6548,長科*,3002,681,13000,4,4068,4068,3486,1
6239,力成,2897,578,11994,3,-6992,-7663,-7903,1
5347,世界,2796,8883,14274,3,-7448,-8186,-9500,2
3535,晶彩科,2499,3146,2793,3,0,0,0,0
6456,GIS-KY,2491,12533,3760,3,0,0,0,0
2492,華新科,2482,3773,8598,5,768,946,1263,5
5425,台半,2344,-14833,-8334,2,0,0,1,1
6175,立敦,2263,-689,2624,2,0,0,0,0
3324,雙鴻,2245,3765,3395,4,0,2,10,3
6284,佳邦,1913,-2804,-1627,3,0,8,8,1
4967,十銓,1905,3140,3787,3,0,0,0,0
6278,台表科,1887,-943,-1236,1,-844,-1138,-2985,1
5475,德宏,1860,5306,4653,4,-991,-991,-991,0
2441,超豐,1682,-3998,-4112,2,218,613,619,3
4919,新唐,1564,2807,1479,4,0,-2045,-2045,0
2368,金像電,1557,2367,3002,5,-1654,-2025,-2652,0
6271,同欣電,1386,1175,1024,2,-18,-204,-204,0
3711,日月光投控,1316,-6501,-8028,3,-4724,-13157,-13430,1
8261,富鼎,1289,-2997,-3278,2,20,100,100,2
2301,光寶科,1224,3893,-5775,4,-396,-1711,922,1
6187,萬潤,1162,-614,-2404,1,-697,-1065,-1159,1
6451,訊芯-KY,1124,1052,639,3,15,71,71,2
2327,國巨,1072,-2105,-6908,2,113,378,445,4
2360,致茂,882,157,-256,1,-684,-1187,-1204,1
2404,漢唐,791,-686,870,3,-1255,-1157,-1228,1
3044,健鼎,751,-465,-1575,3,-942,-757,-845,1
6121,新普,687,1257,1550,4,-363,-292,-235,2
3443,創意,428,629,1354,4,-248,-683,-789,2
2330,台積電,391,10363,12096,3,-67,739,1205,4
6415,矽力*-KY,385,-721,-1465,1,-322,630,-111,3
2345,智邦,373,1331,713,4,-512,-937,-1060,1
3167,大量,357,372,397,3,-10,-288,-288,0
6805,富世達,331,2367,2768,4,924,1870,1463,3
3529,力旺,301,489,1039,4,-9,-272,-1084,0
6488,環球晶,253,1586,578,4,-422,-69,6737,3
3665,貿聯-KY,240,232,806,4,-334,-955,-2440,0
6223,旺矽,239,230,132,3,-232,-449,-442,2
6669,緯穎,201,693,663,3,3,261,-50,3
6515,穎崴,198,91,118,2,-176,-333,-469,0
5269,祥碩,129,147,33,2,62,209,288,5
