排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,被動元件,5.32,100.0,19/19,56.45,45.36,15.79,36.02
2,記憶體製造,8.38,100.0,4/4,152.17,141.35,13.8,65.01
3,工業自動化與機器人,2.84,100.0,7/7,2.04,2.04,-0.0,-0.01
4,機器人,2.31,92.86,13/14,37.05,40.88,6.48,2.01
5,半導體設備,2.79,85.71,6/7,3.69,7.82,1.93,4.55
6,軍工_無人機相關,1.5,77.78,7/9,-2.52,-21.15,14.66,30.53
7,記憶體封裝與測試,4.47,75.0,3/4,8.12,2.7,3.94,3.69
8,記憶體模組,1.66,71.43,5/7,3.29,34.65,-12.46,-20.51
9,軍工_航太製造與維修,0.5,66.67,4/6,1.27,-5.07,0.0,0.42
10,CPO_光通訊,1.63,66.67,4/6,3.73,8.3,3.24,12.18
11,IC設計,1.39,61.54,8/13,-30.9,-19.26,31.68,56.35
12,光學元件或組裝,0.95,60.0,9/15,2.39,-6.58,11.09,37.82
13,軟體設計,0.8,60.0,9/15,0.08,-1.09,-0.07,-0.14
14,銅,0.34,60.0,6/10,-35.05,-62.32,17.38,23.16
15,無塵室與機電工程,0.28,60.0,3/5,-9.74,-10.7,4.24,0.99
16,BBU_電源供應器與整合,1.48,60.0,3/5,41.13,65.45,-3.36,-23.61
17,玻璃,0.61,60.0,9/15,-29.58,-61.4,-16.11,-17.11
18,低軌衛星,0.45,57.14,4/7,-11.98,-14.22,-5.16,-9.48
19,TPU_光通訊與連接器,-0.76,50.0,2/4,-14.11,-7.33,-8.66,-4.76
20,銀,2.05,50.0,2/4,5.63,-11.68,8.24,29.52
21,電器電纜,0.08,50.0,5/10,3.14,-11.78,-2.06,-3.76
22,網通設備組件,0.65,50.0,10/20,-8.38,17.43,-1.43,18.01
23,航運,0.26,46.67,7/15,0.04,8.52,7.88,7.35
24,BBU_電池模組,-0.62,42.86,3/7,-0.68,-1.42,-4.85,-12.32
25,廠務系統與水處理,-0.04,42.86,3/7,-0.61,-0.62,0.44,0.37
26,記憶體控制IC,2.64,40.0,2/5,5.5,18.37,-0.17,-0.37
27,化學,0.54,40.0,8/20,-26.14,-24.51,6.56,2.34
28,CPO_先進封裝測試,-0.2,40.0,2/5,-4.33,-6.33,-0.36,5.35
29,電池或電源,-0.52,35.0,7/20,39.05,56.64,-12.16,-44.0
30,PCB,-0.73,33.33,5/15,-46.42,-77.41,-16.18,-23.27
31,鋼鐵,-0.44,33.33,5/15,-15.25,-48.47,-5.23,0.55
32,紡織,-0.67,25.0,5/20,-1.16,-3.13,-1.68,-2.46
33,TPU_伺服器主板與印刷電路板,-2.07,20.0,1/5,-17.16,-23.5,-21.3,-22.3
34,塑膠,-1.73,16.67,3/18,-32.4,-40.04,-0.97,-3.28
35,金融,-1.78,15.79,3/19,-32.4,-40.03,-0.97,-3.28
36,造紙,-0.57,14.29,1/7,-0.39,-0.88,-0.06,0.0
37,TPU_散熱,-2.92,0.0,0/4,-17.09,-10.19,-13.49,-8.97
