股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2409,友達,111487,17533,225135,3,-9,45,42,1
3481,群創,79239,8321,125849,3,2705,1051,-527,1
1301,台塑,62667,118401,124066,4,-1,-646,-785,0
1326,台化,59406,111717,128091,4,314,2123,418,4
1802,台玻,58273,60120,72902,4,22,22,24,2
1303,南亞,35893,39430,64543,4,1006,-299,3189,3
2002,中鋼,34918,60048,130994,5,93,-1895,-1965,2
2337,旺宏,26657,6757,-22009,1,3874,4586,6276,3
2330,台積電,18954,25839,44954,4,471,-4527,-4179,2
2317,鴻海,17772,20657,26835,3,-65,-4894,-5503,0
2887,台新金,16133,-3310,4919,4,-4730,2722,903,1
2324,仁寶,13706,22282,15609,4,-5036,-7167,-9059,0
2890,永豐金,13676,23956,41860,5,-2305,-6606,-8733,0
1312,國喬,13327,17059,15379,2,0,0,0,0
2867,三商壽,12894,14708,21338,4,0,0,0,0
2884,玉山金,12433,7117,9402,3,-1417,-4359,-4885,0
3231,緯創,11633,26761,64583,5,-818,-2430,-1923,1
6116,彩晶,10539,4117,24933,4,0,0,0,0
2327,國巨,10187,47600,78069,5,3707,5614,5295,2
2880,華南金,9617,13244,16546,5,-829,-4356,-4624,0
2402,毅嘉,8583,27014,30157,5,0,1220,1192,1
2885,元大金,8350,10487,15256,5,-4091,-8228,-1949,2
3702,大聯大,7967,17279,27402,5,-4763,-9995,-10458,1
2492,華新科,7323,8635,9077,3,8,113,121,5
2356,英業達,6801,20311,28312,5,-2547,-3728,-1449,2
1605,華新,6681,10414,23971,3,2,-32,-72,2
6127,九豪,6374,6610,7627,4,0,0,0,0
6505,台塑化,6116,13496,2947,3,-25,337,-1027,1
4919,新唐,6039,5237,5278,2,-1,-8,-5,1
2301,光寶科,5573,-7802,2544,4,-850,-1636,-1655,2
6278,台表科,5561,5310,4166,1,-2745,-2778,-2797,0
6443,元晶,5434,17645,11262,4,0,0,0,0
6182,合晶,5360,9327,11720,5,0,0,0,0
2834,臺企銀,5194,2993,-3590,1,-33,12,-5,1
3045,台灣大,4502,10927,16455,5,-149,-486,1356,3
6191,精成科,4486,2566,3068,3,82,-1451,-2427,1
6282,康舒,4038,3398,7668,3,0,-115,-204,0
5483,中美晶,3887,8464,11343,5,-63,-107,-211,0
3260,威剛,3859,1103,-5248,1,64,-2100,-2392,2
6213,聯茂,3759,1114,-4622,2,0,77,1394,2
5871,中租-KY,3738,4796,4907,3,-450,-707,-932,0
4938,和碩,3655,-3419,-7,4,-473,-979,-831,1
2881,富邦金,3646,-11599,-20541,1,-2797,-5812,-3075,3
3036,文曄,3591,7810,8391,5,-3576,-7287,-7644,0
2603,長榮,3164,916,-2551,3,-573,-1075,-1908,0
4989,榮科,3103,1166,15959,3,0,0,0,0
3189,景碩,3093,1835,606,3,-815,-2558,-2514,1
3709,鑫聯大投控,3087,3622,3805,4,0,0,0,0
2382,廣達,2849,13640,62140,4,-706,888,1526,4
8112,至上,2778,-4456,-3896,2,6,-42,-36,3
8358,金居,2699,5933,9620,5,-240,2402,3125,2
3450,聯鈞,2630,4554,14560,4,793,792,791,1
3090,日電貿,2566,4621,7469,5,-5,-39,-60,0
5347,世界,2152,7265,10425,4,-2241,-10793,-8668,2
2412,中華電,2003,2502,1631,2,-1338,-2175,-879,3
6290,良維,1913,-1405,-1639,3,50,57,109,4
3374,精材,1719,2689,3052,5,-39,-511,-510,1
2486,一詮,1543,-607,7699,4,38,558,1689,5
3532,台勝科,1335,3033,1882,3,831,1347,1874,4
6139,亞翔,1324,1007,2515,3,-21,-1585,-1685,0
3406,玉晶光,1320,2007,2007,4,337,337,331,2
3037,欣興,1312,-25985,-19589,3,-2306,29598,30293,3
3324,雙鴻,1205,-1922,-1087,2,-60,-326,-652,0
5475,德宏,976,1614,1211,3,0,0,75,1
5536,聖暉*,902,643,159,2,19,36,-133,2
6531,愛普*,851,839,-977,2,209,193,172,1
3044,健鼎,842,1321,1699,4,-107,-343,-422,0
2395,研華,841,2099,4153,5,-354,-1741,-1807,0
6788,華景電,833,-711,-524,4,0,0,0,0
2368,金像電,770,1266,3115,5,453,-7,814,4
3008,大立光,737,1300,2191,5,-153,-177,-187,0
6414,樺漢,737,1652,1429,4,-69,43,57,2
6488,環球晶,689,2658,4017,5,39,3434,4511,5
3017,奇鋐,663,-194,882,4,63,41,50,3
6196,帆宣,645,1362,3343,5,-1,-16,-30,0
5434,崇越,593,1696,1946,4,3,18,31,3
3034,聯詠,590,-96,1285,3,-135,-239,-372,0
2379,瑞昱,499,1815,2341,4,-288,-89,177,4
2383,台光電,490,-35,702,3,-57,-73,50,3
6274,台燿,429,2019,4073,5,256,-603,-400,2
3661,世芯-KY,395,1051,1159,4,85,55,-41,1
4991,環宇-KY,345,240,233,3,13,113,-107,2
3443,創意,187,52,522,4,99,221,173,4
2454,聯發科,121,-880,-1689,2,114,-687,-920,1
6510,精測,108,41,32,2,-222,-275,-352,2
6669,緯穎,103,-71,236,3,134,117,87,1
