排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,1441,大東,全部,35.0,53.8,,,,,
2,6550,北極星藥業-KY,全部,23.4,30.5,,,,,
3,3094,聯傑,全部,6.4,27.9,48.8,57.8,48.6,54.3,11.3
4,3543,州巧,光電業,11.8,23.6,45.4,47.7,44.1,45.7,0.7
5,3580,友威科,其他電子類,2.7,21.6,95.3,105.5,94.0,102.0,7.0
6,2409,友達,光電業,6.0,13.1,30.75,36.65,29.5,34.2,11.2
7,8150,南茂,全部,7.5,12.5,89.0,116.0,88.8,112.0,25.8
8,4554,橙的,其他電子類,6.2,11.9,28.65,28.8,28.05,28.25,-1.4
9,6257,矽格,全部,5.1,10.8,231.0,263.0,227.5,243.0,5.2
10,3035,智原,全部,2.9,10.1,184.0,210.0,182.5,206.5,12.2
11,2342,茂矽,全部,3.3,8.9,40.1,50.9,39.9,48.2,20.2
12,6456,GIS-KY,光電業,4.4,8.8,65.1,82.5,64.2,81.3,24.9
13,6207,雷科,電子零組件類,1.3,8.3,114.0,125.0,111.5,125.0,9.6
14,6533,晶心科,全部,1.6,8.1,255.0,278.5,249.5,276.0,8.2
15,3016,嘉晶,全部,5.5,7.9,116.5,160.0,115.0,160.0,37.3
16,1569,濱川,電腦及週邊類,4.0,7.8,52.0,68.0,52.0,64.7,24.4
17,3624,光頡,電子零組件類,4.0,7.5,122.0,144.5,117.0,140.0,14.8
18,2033,佳大,全部,5.8,7.4,32.45,40.25,31.5,36.8,13.4
19,6168,宏齊,光電業,3.8,7.3,37.15,45.6,35.85,44.0,18.4
20,6122,擎邦,電機機械,2.4,7.3,51.5,58.5,50.6,58.2,13.0
21,2449,京元電子,全部,4.1,7.0,276.5,330.0,274.0,311.0,12.5
22,6426,統新,全部,3.4,6.8,381.5,412.0,350.5,389.0,2.0
23,6823,濾能,半導體類,3.6,6.5,60.3,60.9,59.2,60.1,-0.3
24,4303,信立,塑膠工業,1.2,6.3,35.1,36.05,33.65,34.05,-3.0
25,1727,中華化,全部,4.0,6.2,105.0,125.0,99.6,115.5,10.0
26,2484,希華,全部,1.5,6.2,71.9,75.0,68.6,72.8,1.3
27,5230,雷笛克光學,光電業類,1.5,5.9,19.3,23.5,18.85,23.3,20.7
28,3661,世芯-KY,全部,1.8,5.4,3390.0,3950.0,3380.0,3770.0,11.2
29,4770,上品,全部,3.4,5.3,242.0,290.0,242.0,281.5,16.3
30,4543,萬在,電機機械,2.5,5.3,28.5,29.5,28.1,28.45,-0.2
31,8261,富鼎,全部,2.2,5.3,172.5,184.5,169.5,176.0,2.0
32,3042,晶技,全部,2.7,5.0,183.0,212.0,179.0,203.0,10.9
33,6770,力積電,全部,2.1,4.9,73.0,74.7,70.5,72.0,-1.4
34,6693,廣閎科,半導體類,1.9,4.7,183.0,212.5,176.5,209.5,14.5
35,6127,九豪,電子零組件類,1.0,4.7,49.1,50.2,47.4,47.8,-2.6
36,6560,欣普羅,光電業類,1.8,4.4,34.25,35.8,32.55,32.65,-4.7
37,4912,聯德控股-KY,全部,2.2,4.3,93.1,100.0,92.2,96.8,4.0
38,4966,譜瑞-KY,半導體類,1.3,4.2,560.0,586.0,553.0,572.0,2.1
39,4979,華星光,通信網路類,1.8,4.1,578.0,650.0,559.0,563.0,-2.6
40,4956,光鋐,光電業,1.6,4.1,40.25,47.85,39.4,44.5,10.6
41,3379,彬台,電機機械,1.1,4.0,27.2,28.5,27.0,27.25,0.2
42,3221,台嘉碩,通信網路類,1.0,4.0,47.75,50.9,47.05,49.1,2.8
43,8299,群聯,半導體類,1.5,3.9,2030.0,2350.0,2010.0,2125.0,4.7
44,3131,弘塑,其他電子類,1.8,3.7,2475.0,2525.0,2340.0,2410.0,-2.6
45,8358,金居,電子零組件類,1.2,3.5,487.5,511.0,484.0,511.0,4.8
46,3041,揚智,全部,0.9,3.5,22.9,24.45,22.75,23.2,1.3
47,6290,良維,電子零組件類,1.4,3.5,274.0,291.5,270.0,274.0,0.0
48,2030,彰源,全部,1.9,3.5,23.75,30.4,23.45,30.4,28.0
49,2404,漢唐,全部,1.9,3.5,1040.0,1285.0,1040.0,1285.0,23.6
50,6526,達發,全部,2.7,3.4,643.0,862.0,640.0,840.0,30.6
