股票代碼,公司名稱,當日外資買超(張),近三日外資買超(張),近五日外資買超(張),近五日外資買超天數,當日投信買超(張),近三日投信買超(張),近五日投信買超(張),近五日投信買超天數
2303,聯電,39191,36526,13162,2,-6156,-7923,-17876,1
2449,京元電子,24968,24394,30658,3,-141,-4821,-10670,1
2892,第一金,18027,16200,11468,2,-52,-631,-1618,1
2883,凱基金,12417,88353,101531,5,-6781,-5248,-6833,2
3481,群創,11277,-17266,-21672,3,-37,-4273,-8568,0
2313,華通,10303,7852,28777,3,3039,2355,-5139,2
6505,台塑化,10085,16082,17768,5,-12,-1852,-1965,0
1802,台玻,10074,-17622,-38570,2,0,0,0,0
3707,漢磊,9773,12913,11109,2,0,0,0,0
8150,南茂,8821,7681,9273,3,0,0,-5,0
2887,台新金,7664,38286,90212,4,-16873,-43686,-92923,0
5347,世界,7284,16681,21714,3,-2020,-9476,-15044,0
2455,全新,6756,6029,4312,3,4,578,451,4
1309,台達化,6066,3463,1783,2,0,0,0,0
2882,國泰金,5844,51035,30673,3,-6703,-23788,-26603,1
1301,台塑,5449,16936,18751,4,0,-6702,-10883,0
1326,台化,5217,31479,44586,5,0,0,0,0
3605,宏致,4583,7063,7161,3,0,0,0,0
2374,佳能,3670,1807,2027,3,0,0,0,0
6706,惠特,3597,6550,5064,3,1576,1576,1576,1
2317,鴻海,2786,16142,31444,4,-123,468,3541,2
6488,環球晶,2524,10,2248,3,824,-451,353,3
2481,強茂,2043,771,-2242,3,0,-1083,-1117,0
8358,金居,1780,4330,7362,5,0,-3849,-7476,0
8046,南電,1765,-1,-480,2,700,1996,6249,5
3680,家登,1614,2165,1165,3,0,0,0,1
2603,長榮,1614,6218,6625,4,-89,-1683,-1584,1
6415,矽力*-KY,1529,2013,3958,4,0,-254,453,2
2454,聯發科,1447,635,1608,4,74,2663,4998,5
2233,宇隆,1441,1931,2087,4,0,0,-19,0
3105,穩懋,1382,639,-1159,2,-102,-1230,-4765,0
6239,力成,1372,-14656,-13309,3,-302,-1421,-3251,1
1560,中砂,1216,2188,2430,4,140,243,-534,2
6257,矽格,1213,2047,2911,3,-361,-638,-2931,0
2049,上銀,1202,1132,1911,3,57,474,106,4
2345,智邦,772,974,1592,3,28,259,959,3
5269,祥碩,759,743,157,2,1,4,-6,3
3661,世芯-KY,732,1537,1742,4,-15,-232,-26,2
6274,台燿,725,1660,3224,4,-430,-673,-727,1
6414,樺漢,674,1610,1895,5,-88,-230,-377,0
4991,環宇-KY,602,-144,220,4,-10,-39,84,1
3163,波若威,590,-554,-2549,1,-2,-539,-88,1
6442,光聖,576,1150,1447,4,-38,-223,-1537,0
8021,尖點,549,618,929,3,-425,-1072,-1414,0
1519,華城,498,362,860,4,-104,-212,-239,0
2383,台光電,465,-567,212,4,48,-292,180,3
6446,藥華藥,458,1036,824,3,0,54,51,1
6789,采鈺,421,70,-3120,2,-6,-3,-68,1
6526,達發,405,358,1394,3,0,1,-95,1
5904,寶雅,366,1123,1133,4,-89,-327,-336,0
3665,貿聯-KY,303,529,698,4,65,230,462,3
3324,雙鴻,285,317,60,3,-7,-12,-182,0
6830,汎銓,264,-765,-750,3,25,211,211,3
4749,新應材,261,438,-43,2,5,117,115,4
8996,高力,162,-573,-340,4,540,884,604,2
3131,弘塑,132,519,832,5,-123,-579,-469,2
3443,創意,108,133,374,4,1,-127,-392,2
3529,力旺,95,343,943,5,-224,-285,-570,1
