排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,銅,4.5,100.0,10/10,43.89,40.37,5.78,2.32
2,化學,2.82,100.0,20/20,6.93,-2.22,0.9,2.22
3,CPO_先進封裝測試,3.82,100.0,5/5,-5.42,6.23,3.8,18.35
4,CPO_光通訊,4.1,100.0,6/6,14.37,26.39,1.99,6.19
5,軍工_航太製造與維修,1.71,100.0,6/6,0.84,2.4,0.83,0.83
6,PCB,6.37,100.0,15/15,129.11,97.08,24.46,89.14
7,TPU_伺服器主板與印刷電路板,6.29,100.0,5/5,14.61,-12.17,21.3,74.27
8,造紙,1.21,100.0,7/7,0.31,-0.39,0.0,-0.0
9,記憶體製造,6.3,100.0,4/4,77.56,-83.06,7.1,-1.62
10,航運,1.55,100.0,15/15,9.92,17.52,0.75,-1.96
11,銀,2.23,100.0,4/4,-0.89,0.05,-1.58,-7.62
12,玻璃,3.29,93.33,14/15,-46.11,-85.05,20.27,53.75
13,被動元件,1.45,89.47,17/19,8.1,1.81,-0.5,-18.92
14,塑膠,-3.17,88.89,16/18,4.52,-3.23,0.96,3.15
15,光學元件或組裝,2.41,86.67,13/15,13.44,4.31,0.76,3.33
16,鋼鐵,1.36,86.67,13/15,-2.43,0.83,-0.12,-1.43
17,工業自動化與機器人,2.3,85.71,6/7,-1.95,6.06,0.88,2.47
18,低軌衛星,5.92,85.71,6/7,12.86,28.26,0.91,9.9
19,金融,-3.02,84.21,16/19,4.52,-3.23,0.96,3.15
20,網通設備組件,1.84,80.0,16/20,24.24,141.37,17.74,66.27
21,BBU_電源供應器與整合,2.82,80.0,4/5,23.56,22.8,0.62,-15.4
22,記憶體控制IC,1.67,80.0,4/5,3.38,-3.97,0.23,-0.0
23,電器電纜,1.88,80.0,8/10,-3.38,-18.36,0.1,-16.04
24,機器人,1.9,78.57,11/14,12.52,13.62,1.85,-10.14
25,軍工_無人機相關,1.9,77.78,7/9,-11.96,-34.09,4.0,23.77
26,紡織,0.99,75.0,15/20,-0.41,-1.35,-0.47,-0.1
27,TPU_散熱,1.39,75.0,3/4,18.79,160.08,17.07,39.68
28,半導體設備,2.09,71.43,5/7,6.75,10.22,-0.91,-0.91
29,記憶體模組,1.72,71.43,5/7,-5.04,-20.1,-5.02,-22.9
30,廠務系統與水處理,0.83,71.43,5/7,-0.23,0.3,-0.06,-0.64
31,電池或電源,1.49,70.0,14/20,18.53,13.86,-2.96,-26.8
32,IC設計,0.36,69.23,9/13,-37.45,-78.6,5.65,44.49
33,軟體設計,0.06,60.0,9/15,-0.71,-1.52,-0.06,-0.2
34,BBU_電池模組,0.43,57.14,4/7,1.3,2.66,-3.72,-8.45
35,TPU_光通訊與連接器,1.16,50.0,2/4,-9.93,0.82,1.28,16.2
36,無塵室與機電工程,-0.38,40.0,2/5,-9.25,-8.58,2.08,-6.82
37,記憶體封裝與測試,-0.29,25.0,1/4,-5.88,18.36,0.06,-2.29
