排名,股票代碼,公司名稱,公司產業,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,3149,正達,光電業,9.1,47.9,63.4,72.0,62.5,67.1,5.8
2,3141,晶宏,半導體類,4.4,23.0,78.8,83.5,71.5,71.8,-8.9
3,4931,新盛力,電腦及週邊類,6.2,19.8,217.0,271.5,213.0,263.0,21.2
4,8112,至上,全部,7.5,19.4,89.9,101.5,88.8,95.8,6.6
5,6241,鑫永洋,通信網路類,9.1,19.3,15.45,15.85,13.65,13.8,-10.7
6,2436,偉詮電,全部,4.6,18.9,61.9,72.9,61.4,69.1,11.6
7,5351,鈺創,半導體類,7.0,17.5,104.5,138.0,101.5,133.0,27.3
8,2465,麗臺,全部,6.0,15.2,85.5,106.5,83.6,95.9,12.2
9,2464,盟立,全部,6.4,14.4,180.0,205.0,172.0,192.0,6.7
10,2359,所羅門,全部,6.5,13.5,142.5,169.0,139.0,159.5,11.9
11,2484,希華,全部,3.1,13.1,72.8,80.7,68.9,72.8,0.0
12,6538,倉和,電子零組件類,4.8,11.9,148.0,195.0,140.5,184.0,24.3
13,4541,晟田,其他,4.8,11.4,63.5,76.0,63.5,73.9,16.4
14,5292,華懋,全部,5.5,10.8,171.5,194.0,166.0,193.0,12.5
15,6265,方土昶,電子通路類,4.6,10.0,54.3,63.8,54.0,62.5,15.1
16,6494,九齊,半導體類,1.4,9.3,53.3,56.0,52.2,54.8,2.8
17,3605,宏致,全部,5.1,8.0,108.0,137.5,103.0,131.5,21.8
18,6770,力積電,全部,3.0,7.6,67.5,81.8,65.0,78.4,16.1
19,5272,笙科,半導體類,1.6,7.2,18.25,18.5,17.7,17.9,-1.9
20,3094,聯傑,全部,1.1,7.1,35.3,39.55,34.7,37.75,6.9
21,6213,聯茂,全部,4.3,6.8,384.5,490.0,366.0,480.0,24.8
22,6269,台郡,全部,2.0,6.8,64.5,70.8,62.6,65.7,1.9
23,6426,統新,全部,2.6,6.5,191.5,233.0,189.5,219.0,14.4
24,1513,中興電,全部,2.8,6.5,160.5,177.0,157.0,170.0,5.9
25,4967,十銓,全部,1.6,6.3,284.0,288.5,270.0,275.0,-3.2
26,2030,彰源,全部,3.1,6.3,18.0,21.9,18.0,20.55,14.2
27,6279,胡連,電子零組件類,2.9,6.2,121.5,131.0,121.5,127.5,4.9
28,3234,光環,通信網路類,1.9,6.1,111.0,146.0,103.0,136.5,23.0
29,4979,華星光,通信網路類,2.4,5.9,494.0,615.0,473.0,522.0,5.7
30,3434,哲固,光電業類,2.7,5.8,31.0,31.6,29.5,30.7,-1.0
31,3489,森寶,建材營造,4.2,5.6,25.9,26.1,25.75,26.05,0.6
32,6207,雷科,電子零組件類,1.0,5.6,103.5,117.0,99.7,107.5,3.9
33,8477,創業家,數位雲端類,4.4,5.6,15.95,16.15,15.5,15.95,0.0
34,3498,陽程,其他電子類,2.6,5.5,111.5,158.0,110.5,158.0,41.7
35,3046,建碁,全部,2.9,5.5,56.7,63.0,56.0,59.8,5.5
36,3508,位速,其他電子類,2.4,5.4,17.55,19.35,16.85,19.25,9.7
37,8081,致新,全部,1.9,5.3,257.5,277.0,255.0,258.0,0.2
38,6788,華景電,半導體類,1.2,5.2,357.5,372.0,340.0,363.5,1.7
39,4566,時碩工業,全部,2.8,5.1,69.8,80.0,69.8,75.6,8.3
40,6225,天瀚,光電業,3.4,5.1,26.9,40.4,25.8,40.4,50.2
41,6603,富強鑫,電機機械,2.6,5.0,25.75,29.5,25.0,28.0,8.7
42,4961,天鈺,全部,2.0,4.5,170.5,176.0,161.5,163.5,-4.1
43,6152,百一,全部,1.1,4.5,13.05,16.5,13.05,14.1,8.0
44,5386,青雲,電腦及週邊類,1.5,4.4,271.0,298.0,260.5,260.5,-3.9
45,3556,禾瑞亞,半導體類,0.7,4.4,63.8,66.4,62.1,63.7,-0.2
46,3003,健和興,全部,2.5,4.3,60.5,74.0,60.1,66.8,10.4
47,2471,資通,全部,1.0,4.3,48.4,50.4,48.35,50.1,3.5
48,2103,台橡,全部,2.4,4.2,25.0,28.95,25.0,26.85,7.4
49,3006,晶豪科,全部,2.4,4.2,255.0,285.5,250.5,273.5,7.3
50,6456,GIS-KY,光電業,2.0,4.2,60.0,72.3,60.0,65.7,9.5
